County,Human.Cases,Dead.Birds,Mosquito.Samples,Sentinel.Chickens
Alameda,0,3,0,0
Alpine,0,0,0,0
Amador,0,0,0,0
Butte,5,5,0,0
Calaveras,0,0,0,0
Colusa,0,0,0,0
Contra Costa,0,6,2,0
Del Norte,0,0,0,0
El Dorado,1,0,0,0
Fresno,0,0,4,0
Glenn,1,1,0,0
Humboldt,0,0,0,0
Imperial,0,0,0,0
Inyo,0,0,0,0
Kern,2,0,55,0
Kings,0,0,11,0
Lake,0,0,6,3
Lassen,0,0,0,0
Los Angeles,8,7,28,21
Madera,0,0,2,0
Marin,1,1,0,0
Mariposa,0,0,0,0
Mendocino,0,1,0,0
Merced,0,3,0,0
Modoc,0,0,0,0
Mono,0,0,0,0
Monterey,0,0,0,0
Napa,1,0,0,0
Nevada,0,2,0,0
Orange,0,4,0,0
Placer,0,6,9,2
Plumas,0,0,0,0
Riverside,1,4,1,5
Sacramento,0,5,34,0
San Benito,0,0,0,0
San Bernardino,1,4,47,1
San Diego,0,0,0,0
San Francisco,1,0,0,0
San Joaquin,0,2,17,0
San Luis Obispo,0,1,0,0
San Mateo,0,0,0,0
Santa Barbara,0,0,0,0
Santa Clara,0,7,3,0
Santa Cruz,0,0,1,0
Shasta,0,1,6,0
Sierra,0,0,0,0
Siskiyou,0,0,0,0
Solano,0,0,0,0
Sonoma,0,1,0,0
Stanislaus,2,2,10,0
Sutter,2,0,1,0
Tehama,0,1,0,0
Trinity,0,0,0,0
Tulare,0,0,32,0
Tuolumne,0,0,0,0
Ventura,0,1,0,0
Yolo,1,5,22,4
Yuba,0,0,1,0
