County,Human.Cases,Dead.Birds,Mosquito.Samples,Sentinel.Chickens
Alameda,0,2,0,0
Alpine,0,0,0,0
Amador,0,0,0,0
Butte,4,13,0,9
Calaveras,0,0,0,0
Colusa,0,0,0,0
Contra Costa,0,13,0,24
Del Norte,0,0,0,0
El Dorado,0,3,0,0
Fresno,3,6,2,5
Glenn,0,12,0,4
Humboldt,0,1,0,0
Imperial,0,0,2,8
Inyo,0,1,0,0
Kern,3,4,27,6
Kings,1,0,6,8
Lake,0,0,3,0
Lassen,0,0,3,0
Los Angeles,0,11,7,1
Madera,0,0,1,1
Marin,0,0,0,0
Mariposa,0,0,0,0
Mendocino,0,0,0,0
Merced,1,7,0,0
Modoc,0,0,0,0
Mono,0,0,0,0
Monterey,0,2,0,0
Napa,0,0,0,0
Nevada,0,1,0,0
Orange,0,2,2,0
Placer,1,3,1,5
Plumas,0,0,0,0
Riverside,1,0,0,3
Sacramento,2,10,2,2
San Benito,0,0,0,0
San Bernardino,0,2,6,0
San Diego,0,0,0,0
San Francisco,0,0,0,0
San Joaquin,2,2,0,7
San Luis Obispo,0,1,0,0
San Mateo,0,1,0,0
Santa Barbara,0,1,0,0
Santa Clara,1,7,0,0
Santa Cruz,0,0,0,0
Shasta,0,7,3,0
Sierra,0,0,0,0
Siskiyou,0,0,0,0
Solano,2,2,0,0
Sonoma,0,2,0,0
Stanislaus,2,10,0,0
Sutter,0,0,4,0
Tehama,0,2,0,0
Trinity,0,1,0,0
Tulare,0,2,1,6
Tuolumne,0,0,0,0
Ventura,0,7,0,0
Yolo,7,5,4,1
Yuba,0,0,4,0
