County,Human.Cases,Dead.Birds,Mosquito.Samples,Sentinel.Chickens
Alameda,1,4,0,0
Alpine,0,0,0,0
Amador,0,0,0,0
Butte,10,4,0,0
Calaveras,0,0,1,0
Colusa,1,0,0,0
Contra Costa,1,8,1,0
Del Norte,0,0,0,0
El Dorado,0,1,0,0
Fresno,2,7,3,0
Glenn,3,0,0,0
Humboldt,0,1,0,0
Imperial,0,0,2,3
Inyo,0,3,0,0
Kern,5,3,19,0
Kings,0,0,3,4
Lake,0,0,1,0
Lassen,0,1,0,0
Los Angeles,1,4,2,1
Madera,0,0,1,2
Marin,0,0,0,0
Mariposa,0,0,0,0
Mendocino,0,1,0,0
Merced,0,1,1,0
Modoc,0,0,0,0
Mono,0,1,0,0
Monterey,0,0,0,0
Napa,0,1,0,0
Nevada,1,1,0,0
Orange,1,0,0,0
Placer,2,1,1,0
Plumas,0,0,0,0
Riverside,0,0,2,0
Sacramento,2,12,3,0
San Benito,0,0,0,0
San Bernardino,0,3,10,0
San Diego,0,0,0,0
San Francisco,0,0,0,0
San Joaquin,0,4,0,0
San Luis Obispo,1,2,0,0
San Mateo,0,1,0,0
Santa Barbara,0,2,0,0
Santa Clara,2,73,0,0
Santa Cruz,0,2,0,0
Shasta,1,8,0,0
Sierra,0,0,0,0
Siskiyou,0,0,0,0
Solano,0,0,0,0
Sonoma,0,0,0,0
Stanislaus,2,5,7,0
Sutter,3,0,1,3
Tehama,0,2,0,0
Trinity,0,0,0,0
Tulare,0,1,1,5
Tuolumne,0,0,0,0
Ventura,1,4,1,0
Yolo,2,2,4,0
Yuba,0,0,0,2
