County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,8,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,23,21,81,34
Calaveras,-,-,-,-
Colusa,-,3,-,-
Contra Costa,-,3,2,6
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,-,1,36,-
Glenn,7,4,21,4
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,2,1,101,-
Kings,-,3,59,-
Lake,1,2,17,2
Lassen,-,-,-,-
Los Angeles,1,4,47,1
Madera,-,1,-,-
Marin,-,2,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,1,3,2
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,2,-,-
Nevada,1,4,-,-
Orange,1,17,86,-
Placer,-,5,42,4
Plumas,-,-,-,-
Riverside,3,23,99,-
Sacramento,-,47,72,1
San Benito,-,-,-,-
San Bernardino,1,5,110,4
San Diego,-,80,7,-
San Francisco,-,-,-,-
San Joaquin,-,7,111,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,4,-
Santa Barbara,-,-,1,-
Santa Clara,1,58,2,-
Santa Cruz,-,-,-,-
Shasta,-,5,36,11
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,6,4,3
Sonoma,-,4,8,-
Stanislaus,-,9,19,2
Sutter,-,14,47,13
Tehama,-,-,-,2
Trinity,-,1,-,-
Tulare,4,21,411,-
Tuolumne,-,-,-,-
Ventura,-,4,-,3
Yolo,-,39,125,1
Yuba,-,6,23,11
