County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,5,2,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,8,45,18
Calaveras,-,-,-,-
Colusa,-,3,-,-
Contra Costa,-,2,2,2
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,-,13,-
Glenn,-,3,18,3
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,1,33,-
Kings,-,1,18,-
Lake,-,-,7,-
Lassen,-,-,-,-
Los Angeles,-,2,12,-
Madera,-,1,-,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,1,2,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,1,-,-,-
Orange,-,5,21,-
Placer,-,1,18,2
Plumas,-,-,-,-
Riverside,-,9,75,-
Sacramento,-,21,29,-
San Benito,-,-,-,-
San Bernardino,-,3,37,2
San Diego,-,62,6,-
San Francisco,-,-,-,-
San Joaquin,-,6,58,-
San Luis Obispo,-,-,-,-
San Mateo,-,4,-,-
Santa Barbara,-,-,1,-
Santa Clara,-,45,1,-
Santa Cruz,-,-,-,-
Shasta,-,3,9,2
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,4,-,-
Sonoma,-,2,5,-
Stanislaus,-,8,9,-
Sutter,-,9,33,7
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,16,246,-
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,16,38,-
Yuba,-,4,18,7
