County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,14,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,40,37,91,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,-,8,3,8
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,-,3,81,-
Glenn,17,4,21,8
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,4,1,126,-
Kings,-,3,131,-
Lake,2,5,29,2
Lassen,-,-,-,-
Los Angeles,11,26,134,31
Madera,1,1,18,-
Marin,-,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,2,8,12
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,10,-,1
Orange,15,33,206,-
Placer,-,18,49,8
Plumas,-,-,-,-
Riverside,14,46,132,9
Sacramento,1,83,130,1
San Benito,-,-,-,-
San Bernardino,5,18,209,14
San Diego,1,139,8,-
San Francisco,-,-,-,-
San Joaquin,1,13,189,-
San Luis Obispo,-,-,-,-
San Mateo,-,11,5,-
Santa Barbara,-,-,1,-
Santa Clara,3,125,11,4
Santa Cruz,-,-,-,-
Shasta,2,14,48,15
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,-,8,4,6
Sonoma,-,6,9,-
Stanislaus,4,13,55,9
Sutter,2,16,54,31
Tehama,4,-,-,11
Trinity,-,2,-,-
Tulare,4,22,500,-
Tuolumne,-,-,-,-
Ventura,-,8,-,4
Yolo,4,51,167,3
Yuba,7,6,23,11
