County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,17,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,45,38,94,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,-,8,6,14
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,4,3,100,-
Glenn,19,4,21,8
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,5,1,135,-
Kings,-,3,139,-
Lake,2,5,30,4
Lassen,-,-,-,-
Los Angeles,39,38,163,62
Madera,2,1,20,-
Marin,1,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,2,8,17
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,10,-,3
Orange,21,44,353,-
Placer,-,20,49,8
Plumas,-,-,-,-
Riverside,28,64,138,14
Sacramento,1,88,147,1
San Benito,-,-,-,-
San Bernardino,15,23,224,25
San Diego,4,207,8,-
San Francisco,-,-,-,-
San Joaquin,2,16,198,-
San Luis Obispo,-,-,-,-
San Mateo,-,14,5,-
Santa Barbara,-,-,1,-
Santa Clara,5,179,19,5
Santa Cruz,-,-,-,-
Shasta,2,15,48,19
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,-,9,5,6
Sonoma,-,7,11,-
Stanislaus,9,13,74,9
Sutter,2,16,54,35
Tehama,4,-,-,18
Trinity,-,2,-,-
Tulare,4,22,524,-
Tuolumne,-,-,-,-
Ventura,1,19,-,5
Yolo,6,57,169,3
Yuba,7,6,23,11
