County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,18,16,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,53,38,94,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,1,11,8,18
Del Norte,-,-,-,-
El Dorado,-,4,-,-
Fresno,7,3,108,-
Glenn,19,4,21,10
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,11,1,135,-
Kings,-,3,144,-
Lake,2,5,31,4
Lassen,-,-,-,-
Los Angeles,187,92,286,137
Madera,4,1,21,-
Marin,1,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,1,3,8,23
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,10,-,4
Orange,78,80,571,-
Placer,-,21,52,8
Plumas,-,-,-,-
Riverside,114,82,158,22
Sacramento,2,103,164,2
San Benito,-,-,-,-
San Bernardino,44,25,290,30
San Diego,33,341,46,12
San Francisco,-,-,-,-
San Joaquin,2,18,208,-
San Luis Obispo,-,-,-,-
San Mateo,-,22,5,-
Santa Barbara,-,3,1,-
Santa Clara,8,231,20,5
Santa Cruz,-,-,-,-
Shasta,3,16,48,22
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,1,10,6,7
Sonoma,-,11,12,-
Stanislaus,12,14,84,9
Sutter,2,16,54,36
Tehama,5,-,-,18
Trinity,-,2,-,-
Tulare,7,23,528,-
Tuolumne,-,-,-,-
Ventura,6,26,-,11
Yolo,7,61,173,6
Yuba,8,6,23,11
