County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,7,2,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,8,17,67,32
Calaveras,-,-,-,-
Colusa,-,3,-,-
Contra Costa,-,2,2,6
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,-,-,20,-
Glenn,4,3,18,4
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,1,91,-
Kings,-,3,53,-
Lake,-,2,10,2
Lassen,-,-,-,-
Los Angeles,1,3,34,1
Madera,-,1,-,-
Marin,-,2,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,1,3,2
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,1,4,-,-
Orange,1,10,65,-
Placer,-,4,35,3
Plumas,-,-,-,-
Riverside,3,20,89,-
Sacramento,-,38,54,-
San Benito,-,-,-,-
San Bernardino,-,4,80,2
San Diego,-,74,7,-
San Francisco,-,-,-,-
San Joaquin,-,7,100,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,4,-
Santa Barbara,-,-,1,-
Santa Clara,-,54,2,-
Santa Cruz,-,-,-,-
Shasta,-,4,29,7
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,5,3,3
Sonoma,-,4,8,-
Stanislaus,-,9,18,2
Sutter,-,12,44,13
Tehama,-,-,-,2
Trinity,-,1,-,-
Tulare,4,19,358,-
Tuolumne,-,-,-,-
Ventura,-,2,-,-
Yolo,-,34,115,-
Yuba,-,4,21,11
