County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,14,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,38,37,88,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,-,7,2,6
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,-,3,75,-
Glenn,17,4,21,8
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,3,1,122,-
Kings,-,3,112,-
Lake,2,5,28,2
Lassen,-,-,-,-
Los Angeles,4,12,118,6
Madera,1,1,15,-
Marin,-,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,2,8,8
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,9,-,-
Orange,5,27,206,-
Placer,-,13,45,8
Plumas,-,-,-,-
Riverside,9,44,125,3
Sacramento,-,75,119,1
San Benito,-,-,-,-
San Bernardino,4,16,186,12
San Diego,1,129,8,-
San Francisco,-,-,-,-
San Joaquin,1,12,178,-
San Luis Obispo,-,-,-,-
San Mateo,-,10,5,-
Santa Barbara,-,-,1,-
Santa Clara,2,106,11,3
Santa Cruz,-,-,-,-
Shasta,1,13,47,15
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,-,8,4,6
Sonoma,-,5,9,-
Stanislaus,3,13,49,9
Sutter,2,16,52,31
Tehama,3,-,-,11
Trinity,-,2,-,-
Tulare,4,22,482,-
Tuolumne,-,-,-,-
Ventura,-,8,-,4
Yolo,4,49,163,2
Yuba,7,6,23,11
