County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,16,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,44,38,94,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,-,8,4,14
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,1,3,97,-
Glenn,17,4,21,8
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,4,1,133,-
Kings,-,3,139,-
Lake,2,5,30,4
Lassen,-,-,-,-
Los Angeles,24,31,147,31
Madera,1,1,19,-
Marin,1,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,2,8,17
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,10,-,3
Orange,18,38,329,-
Placer,-,19,49,8
Plumas,-,-,-,-
Riverside,18,55,136,11
Sacramento,1,85,140,1
San Benito,-,-,-,-
San Bernardino,9,19,214,23
San Diego,2,158,8,-
San Francisco,-,-,-,-
San Joaquin,1,15,190,-
San Luis Obispo,-,-,-,-
San Mateo,-,12,5,-
Santa Barbara,-,-,1,-
Santa Clara,3,160,11,4
Santa Cruz,-,-,-,-
Shasta,2,14,48,19
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,-,8,4,6
Sonoma,-,7,9,-
Stanislaus,6,13,65,9
Sutter,2,16,54,35
Tehama,4,-,-,11
Trinity,-,2,-,-
Tulare,4,22,519,-
Tuolumne,-,-,-,-
Ventura,-,14,-,4
Yolo,5,54,169,3
Yuba,7,6,23,11
