County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,17,10,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,50,38,94,37
Calaveras,-,-,-,-
Colusa,1,3,-,10
Contra Costa,1,10,6,16
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,7,3,108,-
Glenn,19,4,21,9
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,10,1,135,-
Kings,-,3,144,-
Lake,2,5,31,4
Lassen,-,-,-,-
Los Angeles,74,41,198,71
Madera,3,1,20,-
Marin,1,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,1,2,8,20
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,7,-,-
Nevada,2,10,-,4
Orange,34,57,448,-
Placer,-,21,49,8
Plumas,-,-,-,-
Riverside,63,70,146,14
Sacramento,1,101,153,2
San Benito,-,-,-,-
San Bernardino,23,23,243,26
San Diego,13,242,26,6
San Francisco,-,-,-,-
San Joaquin,2,17,206,-
San Luis Obispo,-,-,-,-
San Mateo,-,16,5,-
Santa Barbara,-,2,1,-
Santa Clara,5,212,19,5
Santa Cruz,-,-,-,-
Shasta,3,16,48,20
Sierra,-,-,-,-
Siskiyou,1,-,-,-
Solano,1,10,5,7
Sonoma,-,9,11,-
Stanislaus,12,14,83,9
Sutter,2,16,54,36
Tehama,5,-,-,18
Trinity,-,2,-,-
Tulare,7,22,528,-
Tuolumne,-,-,-,-
Ventura,2,24,-,5
Yolo,7,61,172,6
Yuba,7,6,23,11
