County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,5,2,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,4,17,67,18
Calaveras,-,-,-,-
Colusa,-,3,-,-
Contra Costa,-,2,2,2
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,-,14,-
Glenn,2,3,18,3
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,1,76,-
Kings,-,1,30,-
Lake,-,2,8,-
Lassen,-,-,-,-
Los Angeles,1,3,16,1
Madera,-,1,-,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,1,3,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,1,1,-,-
Orange,-,5,21,-
Placer,-,4,33,3
Plumas,-,-,-,-
Riverside,-,16,81,-
Sacramento,-,27,42,-
San Benito,-,-,-,-
San Bernardino,-,3,37,2
San Diego,-,65,6,-
San Francisco,-,-,-,-
San Joaquin,-,7,84,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,2,-
Santa Barbara,-,-,1,-
Santa Clara,-,49,2,-
Santa Cruz,-,-,-,-
Shasta,-,3,23,2
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,4,-,-
Sonoma,-,3,8,-
Stanislaus,-,8,12,-
Sutter,-,10,40,7
Tehama,-,-,-,-
Trinity,-,1,-,-
Tulare,2,18,334,-
Tuolumne,-,-,-,-
Ventura,-,2,-,-
Yolo,-,23,75,-
Yuba,-,4,21,7
