County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,12,3,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,36,30,85,35
Calaveras,-,-,-,-
Colusa,-,3,-,10
Contra Costa,-,3,2,6
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,-,1,50,-
Glenn,11,4,21,6
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,3,1,103,-
Kings,-,3,79,-
Lake,1,3,20,2
Lassen,-,-,-,-
Los Angeles,1,4,64,2
Madera,-,1,5,-
Marin,-,3,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,1,7,8
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,3,-,-
Nevada,2,8,-,-
Orange,1,22,86,-
Placer,-,5,44,5
Plumas,-,-,-,-
Riverside,3,34,112,-
Sacramento,-,56,92,1
San Benito,-,-,-,-
San Bernardino,1,7,115,5
San Diego,-,87,8,-
San Francisco,-,-,-,-
San Joaquin,1,10,134,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,4,-
Santa Barbara,-,-,1,-
Santa Clara,1,72,5,-
Santa Cruz,-,-,-,-
Shasta,-,8,41,13
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,7,4,3
Sonoma,-,4,8,-
Stanislaus,3,10,27,6
Sutter,2,16,50,26
Tehama,2,-,-,7
Trinity,-,2,-,-
Tulare,4,22,435,-
Tuolumne,-,-,-,-
Ventura,-,6,-,3
Yolo,1,43,140,1
Yuba,3,6,23,11
