County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,18,8,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,17,40,1,44
Calaveras,-,2,2,-
Colusa,2,9,-,1
Contra Costa,5,58,15,25
Del Norte,-,-,-,-
El Dorado,1,13,2,-
Fresno,8,62,35,19
Glenn,8,32,1,9
Humboldt,-,2,-,-
Imperial,-,-,12,32
Inyo,-,8,3,-
Kern,32,20,203,77
Kings,1,10,28,22
Lake,1,6,11,1
Lassen,-,3,3,-
Los Angeles,3,28,58,12
Madera,-,1,2,4
Marin,-,3,1,-
Mariposa,-,1,-,-
Mendocino,-,6,-,-
Merced,1,28,3,-
Modoc,1,1,-,-
Mono,1,1,-,-
Monterey,-,2,-,-
Napa,-,3,-,-
Nevada,1,3,-,-
Orange,3,28,8,-
Placer,4,10,18,5
Plumas,-,-,-,-
Riverside,1,-,14,4
Sacramento,7,74,29,7
San Benito,-,1,-,-
San Bernardino,-,13,22,5
San Diego,-,6,-,-
San Francisco,-,-,-,-
San Joaquin,5,43,20,18
San Luis Obispo,1,6,-,-
San Mateo,-,3,-,-
Santa Barbara,-,3,1,-
Santa Clara,4,154,9,-
Santa Cruz,-,2,-,-
Shasta,2,53,7,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,2,13,1,16
Sonoma,-,7,-,-
Stanislaus,7,56,43,28
Sutter,9,2,54,34
Tehama,2,10,-,-
Trinity,-,1,-,-
Tulare,3,5,3,19
Tuolumne,-,-,-,-
Ventura,3,30,1,-
Yolo,22,49,59,9
Yuba,-,2,6,7
