County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,35,9,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,30,40,1,48
Calaveras,-,2,2,-
Colusa,3,9,-,1
Contra Costa,8,83,18,25
Del Norte,-,-,-,-
El Dorado,1,19,2,-
Fresno,9,71,39,35
Glenn,12,35,1,10
Humboldt,-,2,-,-
Imperial,1,-,14,52
Inyo,-,8,3,-
Kern,48,23,229,92
Kings,1,12,34,24
Lake,2,8,12,6
Lassen,-,3,3,-
Los Angeles,11,83,72,32
Madera,-,3,4,9
Marin,1,7,3,2
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,4,40,6,14
Modoc,2,2,-,-
Mono,1,1,-,-
Monterey,-,5,-,-
Napa,1,7,-,-
Nevada,1,4,-,-
Orange,5,35,11,-
Placer,8,12,23,5
Plumas,-,-,-,-
Riverside,3,1,28,20
Sacramento,11,84,35,7
San Benito,-,1,-,-
San Bernardino,1,28,25,22
San Diego,1,14,-,-
San Francisco,-,3,-,-
San Joaquin,8,47,39,19
San Luis Obispo,1,9,-,-
San Mateo,-,7,-,-
Santa Barbara,-,13,1,-
Santa Clara,5,207,9,1
Santa Cruz,-,4,-,-
Shasta,4,85,7,4
Sierra,-,-,-,-
Siskiyou,-,1,-,-
Solano,6,16,1,20
Sonoma,-,17,2,1
Stanislaus,11,69,54,43
Sutter,12,2,55,36
Tehama,3,12,-,3
Trinity,-,1,-,-
Tulare,8,13,8,30
Tuolumne,-,1,-,-
Ventura,3,51,2,1
Yolo,26,51,63,9
Yuba,3,2,6,9
