County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,31,9,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,30,40,1,47
Calaveras,-,2,2,-
Colusa,2,9,-,1
Contra Costa,8,79,18,25
Del Norte,-,-,-,-
El Dorado,1,17,2,-
Fresno,8,70,39,30
Glenn,12,35,1,10
Humboldt,-,2,-,-
Imperial,1,-,13,49
Inyo,-,8,3,-
Kern,47,22,229,91
Kings,1,12,34,23
Lake,2,7,12,6
Lassen,-,3,3,-
Los Angeles,9,70,71,20
Madera,-,2,4,7
Marin,1,5,3,2
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,2,34,5,14
Modoc,2,2,-,-
Mono,1,1,-,-
Monterey,-,5,-,-
Napa,1,4,-,-
Nevada,1,4,-,-
Orange,5,35,11,-
Placer,7,11,23,5
Plumas,-,-,-,-
Riverside,3,1,27,15
Sacramento,11,83,34,7
San Benito,-,1,-,-
San Bernardino,1,25,24,19
San Diego,1,12,-,-
San Francisco,-,3,-,-
San Joaquin,8,46,39,19
San Luis Obispo,1,9,-,-
San Mateo,-,5,-,-
Santa Barbara,-,10,1,-
Santa Clara,5,202,9,1
Santa Cruz,-,4,-,-
Shasta,2,72,7,3
Sierra,-,-,-,-
Siskiyou,-,1,-,-
Solano,6,16,1,20
Sonoma,-,11,2,-
Stanislaus,10,67,53,39
Sutter,12,2,55,36
Tehama,3,12,-,3
Trinity,-,1,-,-
Tulare,5,9,8,28
Tuolumne,-,-,-,-
Ventura,3,47,2,1
Yolo,25,51,63,9
Yuba,3,2,6,9
