County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,29,9,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,30,40,1,47
Calaveras,-,2,2,-
Colusa,2,9,-,1
Contra Costa,8,73,18,25
Del Norte,-,-,-,-
El Dorado,1,17,2,-
Fresno,8,68,39,30
Glenn,12,35,1,10
Humboldt,-,2,-,-
Imperial,1,-,13,42
Inyo,-,8,3,-
Kern,45,22,228,88
Kings,1,11,31,23
Lake,1,6,12,4
Lassen,-,3,3,-
Los Angeles,9,64,67,18
Madera,-,2,4,7
Marin,1,5,3,2
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,2,33,5,14
Modoc,2,2,-,-
Mono,1,1,-,-
Monterey,-,3,-,-
Napa,1,3,-,-
Nevada,1,3,-,-
Orange,5,35,9,-
Placer,7,11,23,5
Plumas,-,-,-,-
Riverside,3,1,21,15
Sacramento,11,81,31,7
San Benito,-,1,-,-
San Bernardino,1,22,24,17
San Diego,1,11,-,-
San Francisco,-,2,-,-
San Joaquin,8,45,38,19
San Luis Obispo,1,9,-,-
San Mateo,-,5,-,-
Santa Barbara,-,6,1,-
Santa Clara,5,200,9,-
Santa Cruz,-,4,-,-
Shasta,2,66,7,3
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,6,15,1,20
Sonoma,-,11,2,-
Stanislaus,10,66,53,37
Sutter,11,2,55,36
Tehama,3,12,-,3
Trinity,-,1,-,-
Tulare,4,8,8,28
Tuolumne,-,-,-,-
Ventura,3,44,2,1
Yolo,25,51,63,9
Yuba,3,2,6,9
