County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,21,8,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,25,40,1,44
Calaveras,-,2,2,-
Colusa,2,9,-,1
Contra Costa,6,62,15,25
Del Norte,-,-,-,-
El Dorado,1,14,2,-
Fresno,8,63,38,27
Glenn,9,32,1,9
Humboldt,-,2,-,-
Imperial,-,-,13,39
Inyo,-,8,3,-
Kern,38,22,214,78
Kings,1,10,30,22
Lake,1,6,12,1
Lassen,-,3,3,-
Los Angeles,5,36,65,15
Madera,-,1,4,7
Marin,1,3,1,-
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,1,30,4,10
Modoc,2,1,-,-
Mono,1,1,-,-
Monterey,-,2,-,-
Napa,-,3,-,-
Nevada,1,3,-,-
Orange,3,33,8,-
Placer,6,10,21,5
Plumas,-,-,-,-
Riverside,3,1,14,6
Sacramento,10,77,30,7
San Benito,-,1,-,-
San Bernardino,-,16,23,9
San Diego,-,8,-,-
San Francisco,-,1,-,-
San Joaquin,5,43,21,18
San Luis Obispo,1,6,-,-
San Mateo,-,4,-,-
Santa Barbara,-,4,1,-
Santa Clara,4,172,9,-
Santa Cruz,-,2,-,-
Shasta,2,57,7,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,2,13,1,19
Sonoma,-,9,-,-
Stanislaus,9,60,45,28
Sutter,11,2,55,34
Tehama,2,10,-,-
Trinity,-,1,-,-
Tulare,4,6,7,25
Tuolumne,-,-,-,-
Ventura,3,35,1,-
Yolo,25,49,59,9
Yuba,3,2,6,7
