County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,24,9,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,28,40,1,47
Calaveras,-,2,2,-
Colusa,2,9,-,1
Contra Costa,7,66,16,25
Del Norte,-,-,-,-
El Dorado,1,15,2,-
Fresno,8,67,38,27
Glenn,9,35,1,10
Humboldt,-,2,-,-
Imperial,-,-,13,39
Inyo,-,8,3,-
Kern,41,22,217,88
Kings,1,10,30,22
Lake,1,6,12,4
Lassen,-,3,3,-
Los Angeles,8,56,65,15
Madera,-,2,4,7
Marin,1,5,2,2
Mariposa,-,1,-,-
Mendocino,-,7,-,-
Merced,2,30,4,12
Modoc,2,1,-,-
Mono,1,1,-,-
Monterey,-,2,-,-
Napa,-,3,-,-
Nevada,1,3,-,-
Orange,5,35,8,-
Placer,7,10,22,5
Plumas,-,-,-,-
Riverside,3,1,14,7
Sacramento,11,80,30,7
San Benito,-,1,-,-
San Bernardino,-,18,24,9
San Diego,-,11,-,-
San Francisco,-,1,-,-
San Joaquin,7,45,22,19
San Luis Obispo,1,9,-,-
San Mateo,-,5,-,-
Santa Barbara,-,6,1,-
Santa Clara,4,193,9,-
Santa Cruz,-,3,-,-
Shasta,2,60,7,2
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,2,15,1,20
Sonoma,-,10,-,-
Stanislaus,9,63,49,37
Sutter,11,2,55,36
Tehama,3,10,-,3
Trinity,-,1,-,-
Tulare,4,6,7,28
Tuolumne,-,-,-,-
Ventura,3,40,2,1
Yolo,25,49,61,9
Yuba,3,2,6,9
