County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,1,1,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,5,-,-
Calaveras,-,-,1,-
Colusa,1,1,-,-
Contra Costa,-,12,13,-
Del Norte,-,-,-,-
El Dorado,-,1,2,-
Fresno,1,38,25,2
Glenn,-,5,1,-
Humboldt,-,-,-,-
Imperial,-,-,8,19
Inyo,-,-,3,-
Kern,11,6,107,26
Kings,-,7,14,10
Lake,-,2,-,-
Lassen,-,1,-,-
Los Angeles,-,1,7,4
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,14,2,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,1,-,-
Nevada,-,1,-,-
Orange,-,19,1,-
Placer,-,2,6,-
Plumas,-,-,-,-
Riverside,-,-,7,1
Sacramento,1,16,16,-
San Benito,-,-,-,-
San Bernardino,-,3,2,-
San Diego,-,4,-,-
San Francisco,-,-,-,-
San Joaquin,1,29,12,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,36,5,-
Santa Cruz,-,-,-,-
Shasta,-,18,1,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,6,1,-
Sonoma,-,1,-,-
Stanislaus,1,30,22,8
Sutter,1,2,49,4
Tehama,-,1,-,-
Trinity,-,-,-,-
Tulare,-,-,-,1
Tuolumne,-,-,-,-
Ventura,-,8,-,-
Yolo,3,26,39,6
Yuba,-,1,2,-
