County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,12,7,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,5,36,1,35
Calaveras,-,2,1,-
Colusa,1,9,-,1
Contra Costa,3,46,13,24
Del Norte,-,-,-,-
El Dorado,1,10,2,-
Fresno,5,55,31,16
Glenn,3,28,1,9
Humboldt,-,1,-,-
Imperial,-,-,10,27
Inyo,-,4,3,-
Kern,25,16,167,77
Kings,1,9,25,18
Lake,-,6,9,-
Lassen,-,2,3,-
Los Angeles,2,16,46,8
Madera,-,-,1,2
Marin,-,3,1,-
Mariposa,-,1,-,-
Mendocino,-,3,-,-
Merced,1,26,2,-
Modoc,1,1,-,-
Mono,1,-,-,-
Monterey,-,2,-,-
Napa,-,2,-,-
Nevada,-,2,-,-
Orange,2,28,6,-
Placer,2,8,15,5
Plumas,-,-,-,-
Riverside,1,-,9,4
Sacramento,5,56,25,5
San Benito,-,1,-,-
San Bernardino,-,8,11,-
San Diego,-,5,-,-
San Francisco,-,-,-,-
San Joaquin,5,37,20,12
San Luis Obispo,-,4,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,1,-
Santa Clara,1,56,9,-
Santa Cruz,-,-,-,-
Shasta,-,40,6,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,2,13,1,16
Sonoma,-,5,-,-
Stanislaus,4,48,34,16
Sutter,6,2,53,27
Tehama,-,5,-,-
Trinity,-,1,-,-
Tulare,-,4,2,10
Tuolumne,-,-,-,-
Ventura,-,23,-,-
Yolo,19,47,54,9
Yuba,-,2,6,2
