"Disease","County","Year","Sex","Count","Population","Rate","CI.lower","CI.upper","Unstable"
"Coccidioidomycosis","California",2001,"Total",1490,34514777,4.317,4.101,4.542," "
"Coccidioidomycosis","California",2001,"Female",527,17340743,3.039,2.785,3.31," "
"Coccidioidomycosis","California",2001,"Male",955,17174034,5.561,5.214,5.925," "
"Coccidioidomycosis","California",2002,"Total",1612,34940334,4.614,4.391,4.844," "
"Coccidioidomycosis","California",2002,"Female",615,17555714,3.503,3.232,3.791," "
"Coccidioidomycosis","California",2002,"Male",986,17384620,5.672,5.323,6.037," "
"Coccidioidomycosis","California",2003,"Total",2039,35390986,5.761,5.514,6.017," "
"Coccidioidomycosis","California",2003,"Female",774,17783924,4.352,4.051,4.67," "
"Coccidioidomycosis","California",2003,"Male",1252,17607062,7.111,6.722,7.516," "
"Coccidioidomycosis","California",2004,"Total",2537,35754827,7.096,6.822,7.377," "
"Coccidioidomycosis","California",2004,"Female",996,17969405,5.543,5.204,5.898," "
"Coccidioidomycosis","California",2004,"Male",1535,17785422,8.631,8.204,9.073," "
"Coccidioidomycosis","California",2005,"Total",2838,35987637,7.886,7.599,8.182," "
"Coccidioidomycosis","California",2005,"Female",906,18088355,5.009,4.688,5.346," "
"Coccidioidomycosis","California",2005,"Male",1780,17899282,9.945,9.488,10.417," "
"Coccidioidomycosis","California",2006,"Total",3032,36248870,8.364,8.069,8.668," "
"Coccidioidomycosis","California",2006,"Female",826,18220429,4.533,4.229,4.853," "
"Coccidioidomycosis","California",2006,"Male",2198,18028441,12.192,11.687,12.712," "
"Coccidioidomycosis","California",2007,"Total",2943,36554575,8.051,7.763,8.347," "
"Coccidioidomycosis","California",2007,"Female",1026,18373955,5.584,5.248,5.936," "
"Coccidioidomycosis","California",2007,"Male",1898,18180620,10.44,9.975,10.92," "
"Coccidioidomycosis","California",2008,"Total",2383,36858270,6.465,6.208,6.73," "
"Coccidioidomycosis","California",2008,"Female",831,18526603,4.485,4.186,4.801," "
"Coccidioidomycosis","California",2008,"Male",1545,18331667,8.428,8.013,8.859," "
"Coccidioidomycosis","California",2009,"Total",2395,37079253,6.459,6.203,6.723," "
"Coccidioidomycosis","California",2009,"Female",739,18634031,3.966,3.685,4.262," "
"Coccidioidomycosis","California",2009,"Male",1647,18445222,8.929,8.503,9.371," "
"Coccidioidomycosis","California",2010,"Total",4431,37311439,11.876,11.529,12.231," "
"Coccidioidomycosis","California",2010,"Female",1468,18752748,7.828,7.433,8.239," "
"Coccidioidomycosis","California",2010,"Male",2948,18558691,15.885,15.316,16.469," "
"Coccidioidomycosis","California",2011,"Total",5217,37572186,13.885,13.511,14.267," "
"Coccidioidomycosis","California",2011,"Female",1775,18881056,9.401,8.969,9.849," "
"Coccidioidomycosis","California",2011,"Male",3430,18691131,18.351,17.742,18.976," "
"Coccidioidomycosis","California",2012,"Total",4147,37869573,10.951,10.62,11.289," "
"Coccidioidomycosis","California",2012,"Female",1380,19028077,7.252,6.875,7.645," "
"Coccidioidomycosis","California",2012,"Male",2734,18841496,14.511,13.972,15.065," "
"Coccidioidomycosis","California",2013,"Total",3318,38166117,8.694,8.4,8.995," "
"Coccidioidomycosis","California",2013,"Female",1181,19177344,6.158,5.812,6.52," "
"Coccidioidomycosis","California",2013,"Male",2119,18988773,11.159,10.689,11.645," "
"Coccidioidomycosis","California",2014,"Total",2217,38501494,5.758,5.521,6.003," "
"Coccidioidomycosis","California",2014,"Female",825,19346905,4.264,3.978,4.565," "
"Coccidioidomycosis","California",2014,"Male",1388,19154588,7.246,6.87,7.638," "
"Coccidioidomycosis","Alameda",2001,"Total",8,1466038,0.546,0.236,1.075,"*"
"Coccidioidomycosis","Alameda",2001,"Female",3,746829,0.402,0.083,1.174,"*"
"Coccidioidomycosis","Alameda",2001,"Male",5,719209,0.695,0.226,1.622,"*"
"Coccidioidomycosis","Alameda",2002,"Total",2,1468943,0.136,0.016,0.492,"*"
"Coccidioidomycosis","Alameda",2002,"Female",0,748222,0,0,0.493,"-"
"Coccidioidomycosis","Alameda",2002,"Male",2,720721,0.277,0.034,1.002,"*"
"Coccidioidomycosis","Alameda",2003,"Total",9,1467663,0.613,0.28,1.164,"*"
"Coccidioidomycosis","Alameda",2003,"Female",1,747676,0.134,0.003,0.745,"*"
"Coccidioidomycosis","Alameda",2003,"Male",8,719986,1.111,0.48,2.189,"*"
"Coccidioidomycosis","Alameda",2004,"Total",12,1466017,0.819,0.423,1.43,"*"
"Coccidioidomycosis","Alameda",2004,"Female",2,746959,0.268,0.032,0.967,"*"
"Coccidioidomycosis","Alameda",2004,"Male",10,719059,1.391,0.667,2.558,"*"
"Coccidioidomycosis","Alameda",2005,"Total",11,1460358,0.753,0.376,1.348,"*"
"Coccidioidomycosis","Alameda",2005,"Female",1,744115,0.134,0.003,0.749,"*"
"Coccidioidomycosis","Alameda",2005,"Male",10,716243,1.396,0.67,2.568,"*"
"Coccidioidomycosis","Alameda",2006,"Total",30,1465322,2.047,1.381,2.923," "
"Coccidioidomycosis","Alameda",2006,"Female",6,746698,0.804,0.295,1.749,"*"
"Coccidioidomycosis","Alameda",2006,"Male",22,718624,3.061,1.919,4.635," "
"Coccidioidomycosis","Alameda",2007,"Total",26,1476892,1.76,1.15,2.579," "
"Coccidioidomycosis","Alameda",2007,"Female",5,752546,0.664,0.216,1.551,"*"
"Coccidioidomycosis","Alameda",2007,"Male",20,724347,2.761,1.687,4.264," "
"Coccidioidomycosis","Alameda",2008,"Total",27,1492275,1.809,1.192,2.632," "
"Coccidioidomycosis","Alameda",2008,"Female",7,760368,0.921,0.37,1.897,"*"
"Coccidioidomycosis","Alameda",2008,"Male",20,731907,2.733,1.669,4.22," "
"Coccidioidomycosis","Alameda",2009,"Total",14,1504325,0.931,0.509,1.561,"*"
"Coccidioidomycosis","Alameda",2009,"Female",4,765992,0.522,0.142,1.337,"*"
"Coccidioidomycosis","Alameda",2009,"Male",10,738333,1.354,0.649,2.491,"*"
"Coccidioidomycosis","Alameda",2010,"Total",21,1513734,1.387,0.859,2.121," "
"Coccidioidomycosis","Alameda",2010,"Female",6,771369,0.778,0.285,1.693,"*"
"Coccidioidomycosis","Alameda",2010,"Male",15,742365,2.021,1.131,3.333,"*"
"Coccidioidomycosis","Alameda",2011,"Total",24,1526738,1.572,1.007,2.339," "
"Coccidioidomycosis","Alameda",2011,"Female",9,777894,1.157,0.529,2.196,"*"
"Coccidioidomycosis","Alameda",2011,"Male",15,748844,2.003,1.121,3.304,"*"
"Coccidioidomycosis","Alameda",2012,"Total",22,1539660,1.429,0.895,2.163," "
"Coccidioidomycosis","Alameda",2012,"Female",4,784429,0.51,0.139,1.306,"*"
"Coccidioidomycosis","Alameda",2012,"Male",18,755231,2.383,1.413,3.767,"*"
"Coccidioidomycosis","Alameda",2013,"Total",29,1564017,1.854,1.242,2.663," "
"Coccidioidomycosis","Alameda",2013,"Female",7,797654,0.878,0.353,1.808,"*"
"Coccidioidomycosis","Alameda",2013,"Male",22,766363,2.871,1.799,4.346," "
"Coccidioidomycosis","Alameda",2014,"Total",28,1584507,1.767,1.174,2.554," "
"Coccidioidomycosis","Alameda",2014,"Female",7,808612,0.866,0.348,1.784,"*"
"Coccidioidomycosis","Alameda",2014,"Male",21,775895,2.707,1.675,4.137," "
"Coccidioidomycosis","Alpine",2001,"Total",0,1237,0,0,297.768,"-"
"Coccidioidomycosis","Alpine",2001,"Female",0,589,0,0,624.338,"-"
"Coccidioidomycosis","Alpine",2001,"Male",0,648,0,0,567.654,"-"
"Coccidioidomycosis","Alpine",2002,"Total",0,1248,0,0,295.147,"-"
"Coccidioidomycosis","Alpine",2002,"Female",0,594,0,0,619.099,"-"
"Coccidioidomycosis","Alpine",2002,"Male",0,654,0,0,562.461,"-"
"Coccidioidomycosis","Alpine",2003,"Total",0,1249,0,0,294.911,"-"
"Coccidioidomycosis","Alpine",2003,"Female",0,596,0,0,617.028,"-"
"Coccidioidomycosis","Alpine",2003,"Male",0,653,0,0,563.32,"-"
"Coccidioidomycosis","Alpine",2004,"Total",0,1266,0,0,290.957,"-"
"Coccidioidomycosis","Alpine",2004,"Female",0,607,0,0,605.88,"-"
"Coccidioidomycosis","Alpine",2004,"Male",0,659,0,0,558.205,"-"
"Coccidioidomycosis","Alpine",2005,"Total",0,1208,0,0,304.905,"-"
"Coccidioidomycosis","Alpine",2005,"Female",0,580,0,0,633.995,"-"
"Coccidioidomycosis","Alpine",2005,"Male",0,628,0,0,585.679,"-"
"Coccidioidomycosis","Alpine",2006,"Total",0,1255,0,0,293.503,"-"
"Coccidioidomycosis","Alpine",2006,"Female",0,605,0,0,607.877,"-"
"Coccidioidomycosis","Alpine",2006,"Male",0,650,0,0,565.913,"-"
"Coccidioidomycosis","Alpine",2007,"Total",0,1248,0,0,295.147,"-"
"Coccidioidomycosis","Alpine",2007,"Female",0,599,0,0,613.947,"-"
"Coccidioidomycosis","Alpine",2007,"Male",0,649,0,0,566.782,"-"
"Coccidioidomycosis","Alpine",2008,"Total",0,1208,0,0,304.905,"-"
"Coccidioidomycosis","Alpine",2008,"Female",0,581,0,0,632.908,"-"
"Coccidioidomycosis","Alpine",2008,"Male",0,627,0,0,586.611,"-"
"Coccidioidomycosis","Alpine",2009,"Total",0,1180,0,0,312.129,"-"
"Coccidioidomycosis","Alpine",2009,"Female",0,570,0,0,645.082,"-"
"Coccidioidomycosis","Alpine",2009,"Male",0,610,0,0,602.909,"-"
"Coccidioidomycosis","Alpine",2010,"Total",0,1163,0,0,316.684,"-"
"Coccidioidomycosis","Alpine",2010,"Female",0,561,0,0,655.397,"-"
"Coccidioidomycosis","Alpine",2010,"Male",0,602,0,0,610.897,"-"
"Coccidioidomycosis","Alpine",2011,"Total",0,1118,0,0,329.41,"-"
"Coccidioidomycosis","Alpine",2011,"Female",0,537,0,0,684.588,"-"
"Coccidioidomycosis","Alpine",2011,"Male",0,581,0,0,632.908,"-"
"Coccidioidomycosis","Alpine",2012,"Total",0,1114,0,0,330.591,"-"
"Coccidioidomycosis","Alpine",2012,"Female",0,535,0,0,687.139,"-"
"Coccidioidomycosis","Alpine",2012,"Male",0,579,0,0,635.087,"-"
"Coccidioidomycosis","Alpine",2013,"Total",0,1112,0,0,331.184,"-"
"Coccidioidomycosis","Alpine",2013,"Female",0,533,0,0,689.708,"-"
"Coccidioidomycosis","Alpine",2013,"Male",0,579,0,0,635.087,"-"
"Coccidioidomycosis","Alpine",2014,"Total",0,1112,0,0,331.184,"-"
"Coccidioidomycosis","Alpine",2014,"Female",0,534,0,0,688.421,"-"
"Coccidioidomycosis","Alpine",2014,"Male",0,578,0,0,636.182,"-"
"Coccidioidomycosis","Amador",2001,"Total",0,35784,0,0,10.308,"-"
"Coccidioidomycosis","Amador",2001,"Female",0,16101,0,0,22.908,"-"
"Coccidioidomycosis","Amador",2001,"Male",0,19683,0,0,18.74,"-"
"Coccidioidomycosis","Amador",2002,"Total",0,36535,0,0,10.096,"-"
"Coccidioidomycosis","Amador",2002,"Female",0,16416,0,0,22.469,"-"
"Coccidioidomycosis","Amador",2002,"Male",0,20119,0,0,18.334,"-"
"Coccidioidomycosis","Amador",2003,"Total",0,36776,0,0,10.03,"-"
"Coccidioidomycosis","Amador",2003,"Female",0,16572,0,0,22.257,"-"
"Coccidioidomycosis","Amador",2003,"Male",0,20204,0,0,18.256,"-"
"Coccidioidomycosis","Amador",2004,"Total",2,37147,5.384,0.652,19.448,"*"
"Coccidioidomycosis","Amador",2004,"Female",1,16732,5.977,0.151,33.295,"*"
"Coccidioidomycosis","Amador",2004,"Male",1,20415,4.898,0.124,27.289,"*"
"Coccidioidomycosis","Amador",2005,"Total",1,37722,2.651,0.067,14.769,"*"
"Coccidioidomycosis","Amador",2005,"Female",0,16990,0,0,21.71,"-"
"Coccidioidomycosis","Amador",2005,"Male",1,20732,4.824,0.122,26.872,"*"
"Coccidioidomycosis","Amador",2006,"Total",4,37964,10.536,2.871,26.975,"*"
"Coccidioidomycosis","Amador",2006,"Female",0,17119,0,0,21.546,"-"
"Coccidioidomycosis","Amador",2006,"Male",4,20845,19.19,5.229,49.125,"*"
"Coccidioidomycosis","Amador",2007,"Total",2,38085,5.251,0.636,18.969,"*"
"Coccidioidomycosis","Amador",2007,"Female",0,17207,0,0,21.436,"-"
"Coccidioidomycosis","Amador",2007,"Male",2,20878,9.579,1.16,34.6,"*"
"Coccidioidomycosis","Amador",2008,"Total",3,37864,7.923,1.634,23.153,"*"
"Coccidioidomycosis","Amador",2008,"Female",0,17163,0,0,21.491,"-"
"Coccidioidomycosis","Amador",2008,"Male",3,20701,14.492,2.989,42.346,"*"
"Coccidioidomycosis","Amador",2009,"Total",2,37905,5.276,0.639,19.059,"*"
"Coccidioidomycosis","Amador",2009,"Female",0,17197,0,0,21.448,"-"
"Coccidioidomycosis","Amador",2009,"Male",2,20708,9.658,1.17,34.884,"*"
"Coccidioidomycosis","Amador",2010,"Total",2,37863,5.282,0.64,19.08,"*"
"Coccidioidomycosis","Amador",2010,"Female",0,17118,0,0,21.547,"-"
"Coccidioidomycosis","Amador",2010,"Male",2,20745,9.641,1.168,34.822,"*"
"Coccidioidomycosis","Amador",2011,"Total",3,37309,8.041,1.658,23.497,"*"
"Coccidioidomycosis","Amador",2011,"Female",0,16886,0,0,21.843,"-"
"Coccidioidomycosis","Amador",2011,"Male",3,20423,14.69,3.029,42.922,"*"
"Coccidioidomycosis","Amador",2012,"Total",1,36403,2.747,0.07,15.304,"*"
"Coccidioidomycosis","Amador",2012,"Female",0,16489,0,0,22.369,"-"
"Coccidioidomycosis","Amador",2012,"Male",1,19914,5.022,0.127,27.975,"*"
"Coccidioidomycosis","Amador",2013,"Total",0,36028,0,0,10.238,"-"
"Coccidioidomycosis","Amador",2013,"Female",0,16327,0,0,22.591,"-"
"Coccidioidomycosis","Amador",2013,"Male",0,19701,0,0,18.723,"-"
"Coccidioidomycosis","Amador",2014,"Total",0,36099,0,0,10.218,"-"
"Coccidioidomycosis","Amador",2014,"Female",0,16358,0,0,22.548,"-"
"Coccidioidomycosis","Amador",2014,"Male",0,19741,0,0,18.685,"-"
"Coccidioidomycosis","Butte",2001,"Total",0,205730,0,0,1.793,"-"
"Coccidioidomycosis","Butte",2001,"Female",0,104697,0,0,3.523,"-"
"Coccidioidomycosis","Butte",2001,"Male",0,101033,0,0,3.651,"-"
"Coccidioidomycosis","Butte",2002,"Total",0,208154,0,0,1.772,"-"
"Coccidioidomycosis","Butte",2002,"Female",0,105823,0,0,3.486,"-"
"Coccidioidomycosis","Butte",2002,"Male",0,102331,0,0,3.605,"-"
"Coccidioidomycosis","Butte",2003,"Total",0,210623,0,0,1.751,"-"
"Coccidioidomycosis","Butte",2003,"Female",0,106998,0,0,3.448,"-"
"Coccidioidomycosis","Butte",2003,"Male",0,103625,0,0,3.56,"-"
"Coccidioidomycosis","Butte",2004,"Total",3,212212,1.414,0.292,4.131,"*"
"Coccidioidomycosis","Butte",2004,"Female",1,107746,0.928,0.023,5.171,"*"
"Coccidioidomycosis","Butte",2004,"Male",2,104466,1.915,0.232,6.916,"*"
"Coccidioidomycosis","Butte",2005,"Total",0,213698,0,0,1.726,"-"
"Coccidioidomycosis","Butte",2005,"Female",0,108417,0,0,3.402,"-"
"Coccidioidomycosis","Butte",2005,"Male",0,105281,0,0,3.504,"-"
"Coccidioidomycosis","Butte",2006,"Total",1,215684,0.464,0.012,2.583,"*"
"Coccidioidomycosis","Butte",2006,"Female",0,109338,0,0,3.374,"-"
"Coccidioidomycosis","Butte",2006,"Male",1,106346,0.94,0.024,5.239,"*"
"Coccidioidomycosis","Butte",2007,"Total",5,217115,2.303,0.748,5.374,"*"
"Coccidioidomycosis","Butte",2007,"Female",0,110027,0,0,3.353,"-"
"Coccidioidomycosis","Butte",2007,"Male",5,107088,4.669,1.516,10.896,"*"
"Coccidioidomycosis","Butte",2008,"Total",0,218485,0,0,1.688,"-"
"Coccidioidomycosis","Butte",2008,"Female",0,110685,0,0,3.333,"-"
"Coccidioidomycosis","Butte",2008,"Male",0,107800,0,0,3.422,"-"
"Coccidioidomycosis","Butte",2009,"Total",1,219287,0.456,0.012,2.541,"*"
"Coccidioidomycosis","Butte",2009,"Female",0,110967,0,0,3.324,"-"
"Coccidioidomycosis","Butte",2009,"Male",1,108320,0.923,0.023,5.144,"*"
"Coccidioidomycosis","Butte",2010,"Total",2,219971,0.909,0.11,3.284,"*"
"Coccidioidomycosis","Butte",2010,"Female",1,111086,0.9,0.023,5.016,"*"
"Coccidioidomycosis","Butte",2010,"Male",1,108885,0.918,0.023,5.117,"*"
"Coccidioidomycosis","Butte",2011,"Total",4,220434,1.815,0.494,4.646,"*"
"Coccidioidomycosis","Butte",2011,"Female",0,111240,0,0,3.316,"-"
"Coccidioidomycosis","Butte",2011,"Male",4,109194,3.663,0.998,9.379,"*"
"Coccidioidomycosis","Butte",2012,"Total",4,220980,1.81,0.493,4.635,"*"
"Coccidioidomycosis","Butte",2012,"Female",1,111415,0.898,0.023,5.001,"*"
"Coccidioidomycosis","Butte",2012,"Male",3,109565,2.738,0.565,8.002,"*"
"Coccidioidomycosis","Butte",2013,"Total",4,221416,1.807,0.492,4.625,"*"
"Coccidioidomycosis","Butte",2013,"Female",1,111548,0.896,0.023,4.995,"*"
"Coccidioidomycosis","Butte",2013,"Male",3,109868,2.731,0.563,7.98,"*"
"Coccidioidomycosis","Butte",2014,"Total",1,223905,0.447,0.011,2.488,"*"
"Coccidioidomycosis","Butte",2014,"Female",0,112637,0,0,3.275,"-"
"Coccidioidomycosis","Butte",2014,"Male",1,111268,0.899,0.023,5.007,"*"
"Coccidioidomycosis","Calaveras",2001,"Total",0,41428,0,0,8.904,"-"
"Coccidioidomycosis","Calaveras",2001,"Female",0,20794,0,0,17.739,"-"
"Coccidioidomycosis","Calaveras",2001,"Male",0,20634,0,0,17.876,"-"
"Coccidioidomycosis","Calaveras",2002,"Total",0,42119,0,0,8.758,"-"
"Coccidioidomycosis","Calaveras",2002,"Female",0,21136,0,0,17.452,"-"
"Coccidioidomycosis","Calaveras",2002,"Male",0,20983,0,0,17.579,"-"
"Coccidioidomycosis","Calaveras",2003,"Total",1,43186,2.316,0.059,12.901,"*"
"Coccidioidomycosis","Calaveras",2003,"Female",1,21655,4.618,0.117,25.726,"*"
"Coccidioidomycosis","Calaveras",2003,"Male",0,21531,0,0,17.131,"-"
"Coccidioidomycosis","Calaveras",2004,"Total",0,43924,0,0,8.398,"-"
"Coccidioidomycosis","Calaveras",2004,"Female",0,22015,0,0,16.755,"-"
"Coccidioidomycosis","Calaveras",2004,"Male",0,21909,0,0,16.836,"-"
"Coccidioidomycosis","Calaveras",2005,"Total",0,44773,0,0,8.239,"-"
"Coccidioidomycosis","Calaveras",2005,"Female",0,22427,0,0,16.447,"-"
"Coccidioidomycosis","Calaveras",2005,"Male",0,22346,0,0,16.507,"-"
"Coccidioidomycosis","Calaveras",2006,"Total",0,45316,0,0,8.14,"-"
"Coccidioidomycosis","Calaveras",2006,"Female",0,22693,0,0,16.254,"-"
"Coccidioidomycosis","Calaveras",2006,"Male",0,22623,0,0,16.305,"-"
"Coccidioidomycosis","Calaveras",2007,"Total",0,45638,0,0,8.083,"-"
"Coccidioidomycosis","Calaveras",2007,"Female",0,22842,0,0,16.148,"-"
"Coccidioidomycosis","Calaveras",2007,"Male",0,22796,0,0,16.181,"-"
"Coccidioidomycosis","Calaveras",2008,"Total",0,45702,0,0,8.071,"-"
"Coccidioidomycosis","Calaveras",2008,"Female",0,22864,0,0,16.133,"-"
"Coccidioidomycosis","Calaveras",2008,"Male",0,22838,0,0,16.151,"-"
"Coccidioidomycosis","Calaveras",2009,"Total",0,45562,0,0,8.096,"-"
"Coccidioidomycosis","Calaveras",2009,"Female",0,22797,0,0,16.18,"-"
"Coccidioidomycosis","Calaveras",2009,"Male",0,22765,0,0,16.203,"-"
"Coccidioidomycosis","Calaveras",2010,"Total",0,45456,0,0,8.115,"-"
"Coccidioidomycosis","Calaveras",2010,"Female",0,22699,0,0,16.25,"-"
"Coccidioidomycosis","Calaveras",2010,"Male",0,22757,0,0,16.209,"-"
"Coccidioidomycosis","Calaveras",2011,"Total",1,45121,2.216,0.056,12.348,"*"
"Coccidioidomycosis","Calaveras",2011,"Female",0,22552,0,0,16.356,"-"
"Coccidioidomycosis","Calaveras",2011,"Male",1,22569,4.431,0.112,24.685,"*"
"Coccidioidomycosis","Calaveras",2012,"Total",2,44923,4.452,0.539,16.081,"*"
"Coccidioidomycosis","Calaveras",2012,"Female",0,22468,0,0,16.417,"-"
"Coccidioidomycosis","Calaveras",2012,"Male",2,22455,8.907,1.079,32.17,"*"
"Coccidioidomycosis","Calaveras",2013,"Total",3,44852,6.689,1.379,19.546,"*"
"Coccidioidomycosis","Calaveras",2013,"Female",1,22444,4.456,0.113,24.822,"*"
"Coccidioidomycosis","Calaveras",2013,"Male",2,22408,8.925,1.081,32.238,"*"
"Coccidioidomycosis","Calaveras",2014,"Total",1,45079,2.218,0.056,12.359,"*"
"Coccidioidomycosis","Calaveras",2014,"Female",0,22552,0,0,16.356,"-"
"Coccidioidomycosis","Calaveras",2014,"Male",1,22527,4.439,0.112,24.731,"*"
"Coccidioidomycosis","Colusa",2001,"Total",0,19068,0,0,19.344,"-"
"Coccidioidomycosis","Colusa",2001,"Female",0,9370,0,0,39.361,"-"
"Coccidioidomycosis","Colusa",2001,"Male",0,9698,0,0,38.03,"-"
"Coccidioidomycosis","Colusa",2002,"Total",0,19391,0,0,19.022,"-"
"Coccidioidomycosis","Colusa",2002,"Female",0,9515,0,0,38.762,"-"
"Coccidioidomycosis","Colusa",2002,"Male",0,9876,0,0,37.345,"-"
"Coccidioidomycosis","Colusa",2003,"Total",0,19685,0,0,18.738,"-"
"Coccidioidomycosis","Colusa",2003,"Female",0,9661,0,0,38.176,"-"
"Coccidioidomycosis","Colusa",2003,"Male",0,10024,0,0,36.794,"-"
"Coccidioidomycosis","Colusa",2004,"Total",3,20184,14.863,3.065,43.431,"*"
"Coccidioidomycosis","Colusa",2004,"Female",1,9891,10.11,0.256,56.317,"*"
"Coccidioidomycosis","Colusa",2004,"Male",2,10293,19.431,2.353,70.172,"*"
"Coccidioidomycosis","Colusa",2005,"Total",1,20565,4.863,0.123,27.09,"*"
"Coccidioidomycosis","Colusa",2005,"Female",0,10072,0,0,36.618,"-"
"Coccidioidomycosis","Colusa",2005,"Male",1,10493,9.53,0.241,53.087,"*"
"Coccidioidomycosis","Colusa",2006,"Total",3,20893,14.359,2.961,41.957,"*"
"Coccidioidomycosis","Colusa",2006,"Female",0,10228,0,0,36.06,"-"
"Coccidioidomycosis","Colusa",2006,"Male",3,10665,28.129,5.801,82.184,"*"
"Coccidioidomycosis","Colusa",2007,"Total",0,21119,0,0,17.466,"-"
"Coccidioidomycosis","Colusa",2007,"Female",0,10337,0,0,35.68,"-"
"Coccidioidomycosis","Colusa",2007,"Male",0,10782,0,0,34.207,"-"
"Coccidioidomycosis","Colusa",2008,"Total",0,21172,0,0,17.422,"-"
"Coccidioidomycosis","Colusa",2008,"Female",0,10363,0,0,35.59,"-"
"Coccidioidomycosis","Colusa",2008,"Male",0,10809,0,0,34.122,"-"
"Coccidioidomycosis","Colusa",2009,"Total",0,21270,0,0,17.342,"-"
"Coccidioidomycosis","Colusa",2009,"Female",0,10373,0,0,35.556,"-"
"Coccidioidomycosis","Colusa",2009,"Male",0,10897,0,0,33.847,"-"
"Coccidioidomycosis","Colusa",2010,"Total",0,21483,0,0,17.17,"-"
"Coccidioidomycosis","Colusa",2010,"Female",0,10435,0,0,35.345,"-"
"Coccidioidomycosis","Colusa",2010,"Male",0,11048,0,0,33.384,"-"
"Coccidioidomycosis","Colusa",2011,"Total",1,21497,4.652,0.118,25.915,"*"
"Coccidioidomycosis","Colusa",2011,"Female",1,10441,9.577,0.242,53.351,"*"
"Coccidioidomycosis","Colusa",2011,"Male",0,11056,0,0,33.36,"-"
"Coccidioidomycosis","Colusa",2012,"Total",0,21442,0,0,17.203,"-"
"Coccidioidomycosis","Colusa",2012,"Female",0,10416,0,0,35.409,"-"
"Coccidioidomycosis","Colusa",2012,"Male",0,11026,0,0,33.451,"-"
"Coccidioidomycosis","Colusa",2013,"Total",0,21665,0,0,17.025,"-"
"Coccidioidomycosis","Colusa",2013,"Female",0,10523,0,0,35.049,"-"
"Coccidioidomycosis","Colusa",2013,"Male",0,11142,0,0,33.102,"-"
"Coccidioidomycosis","Colusa",2014,"Total",0,21606,0,0,17.072,"-"
"Coccidioidomycosis","Colusa",2014,"Female",0,10489,0,0,35.163,"-"
"Coccidioidomycosis","Colusa",2014,"Male",0,11117,0,0,33.177,"-"
"Coccidioidomycosis","Contra Costa",2001,"Total",7,970496,0.721,0.29,1.486,"*"
"Coccidioidomycosis","Contra Costa",2001,"Female",2,497442,0.402,0.049,1.452,"*"
"Coccidioidomycosis","Contra Costa",2001,"Male",5,473054,1.057,0.343,2.467,"*"
"Coccidioidomycosis","Contra Costa",2002,"Total",7,978795,0.715,0.288,1.474,"*"
"Coccidioidomycosis","Contra Costa",2002,"Female",1,501572,0.199,0.005,1.111,"*"
"Coccidioidomycosis","Contra Costa",2002,"Male",6,477223,1.257,0.461,2.737,"*"
"Coccidioidomycosis","Contra Costa",2003,"Total",13,989705,1.314,0.699,2.246,"*"
"Coccidioidomycosis","Contra Costa",2003,"Female",6,507028,1.183,0.434,2.576,"*"
"Coccidioidomycosis","Contra Costa",2003,"Male",7,482677,1.45,0.583,2.988,"*"
"Coccidioidomycosis","Contra Costa",2004,"Total",19,998201,1.903,1.146,2.972," "
"Coccidioidomycosis","Contra Costa",2004,"Female",3,511239,0.587,0.121,1.715,"*"
"Coccidioidomycosis","Contra Costa",2004,"Male",16,486962,3.286,1.878,5.336,"*"
"Coccidioidomycosis","Contra Costa",2005,"Total",19,1004230,1.892,1.139,2.955," "
"Coccidioidomycosis","Contra Costa",2005,"Female",11,514168,2.139,1.068,3.828,"*"
"Coccidioidomycosis","Contra Costa",2005,"Male",8,490062,1.632,0.705,3.217,"*"
"Coccidioidomycosis","Contra Costa",2006,"Total",29,1010104,2.871,1.923,4.123," "
"Coccidioidomycosis","Contra Costa",2006,"Female",8,517107,1.547,0.668,3.048,"*"
"Coccidioidomycosis","Contra Costa",2006,"Male",21,492997,4.26,2.637,6.511," "
"Coccidioidomycosis","Contra Costa",2007,"Total",20,1021251,1.958,1.196,3.025," "
"Coccidioidomycosis","Contra Costa",2007,"Female",6,522750,1.148,0.421,2.498,"*"
"Coccidioidomycosis","Contra Costa",2007,"Male",14,498501,2.808,1.535,4.712,"*"
"Coccidioidomycosis","Contra Costa",2008,"Total",9,1033292,0.871,0.398,1.653,"*"
"Coccidioidomycosis","Contra Costa",2008,"Female",3,528831,0.567,0.117,1.658,"*"
"Coccidioidomycosis","Contra Costa",2008,"Male",6,504461,1.189,0.436,2.589,"*"
"Coccidioidomycosis","Contra Costa",2009,"Total",14,1043501,1.342,0.733,2.251,"*"
"Coccidioidomycosis","Contra Costa",2009,"Female",4,533877,0.749,0.204,1.918,"*"
"Coccidioidomycosis","Contra Costa",2009,"Male",9,509624,1.766,0.808,3.352,"*"
"Coccidioidomycosis","Contra Costa",2010,"Total",16,1052199,1.521,0.869,2.469,"*"
"Coccidioidomycosis","Contra Costa",2010,"Female",4,539100,0.742,0.202,1.9,"*"
"Coccidioidomycosis","Contra Costa",2010,"Male",12,513099,2.339,1.208,4.085,"*"
"Coccidioidomycosis","Contra Costa",2011,"Total",31,1061197,2.921,1.985,4.146," "
"Coccidioidomycosis","Contra Costa",2011,"Female",14,543641,2.575,1.408,4.321,"*"
"Coccidioidomycosis","Contra Costa",2011,"Male",17,517556,3.285,1.913,5.259,"*"
