County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,2,15,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,10,53,27,43
Calaveras,-,-,-,-
Colusa,3,5,-,6
Contra Costa,3,66,19,7
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,22,25,147,-
Glenn,7,16,4,8
Humboldt,-,-,-,-
Imperial,1,-,4,10
Inyo,-,-,-,-
Kern,25,14,571,74
Kings,2,2,102,-
Lake,1,10,23,4
Lassen,-,-,-,-
Los Angeles,118,259,316,131
Madera,1,2,14,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,6,-,-
Merced,13,42,4,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,1,-,-,-
Napa,-,1,1,-
Nevada,-,3,-,-
Orange,35,90,68,-
Placer,12,60,108,8
Plumas,-,-,-,-
Riverside,15,4,130,63
Sacramento,29,464,487,36
San Benito,-,-,-,-
San Bernardino,25,36,56,45
San Diego,1,1,-,-
San Francisco,1,1,-,-
San Joaquin,10,57,168,-
San Luis Obispo,-,1,-,-
San Mateo,-,5,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,19,3,-
Santa Cruz,-,1,-,-
Shasta,1,36,17,6
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,2,28,3,2
Sonoma,-,8,3,1
Stanislaus,24,51,210,8
Sutter,8,29,19,38
Tehama,4,5,-,-
Trinity,-,-,-,-
Tulare,7,54,144,11
Tuolumne,-,-,-,-
Ventura,4,37,2,2
Yolo,5,98,154,4
Yuba,4,11,15,13
