County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,6,45,26,41
Calaveras,-,-,-,-
Colusa,2,5,-,6
Contra Costa,2,48,19,6
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,14,22,134,-
Glenn,5,15,4,7
Humboldt,-,-,-,-
Imperial,1,-,4,9
Inyo,-,-,-,-
Kern,20,14,519,56
Kings,-,2,94,-
Lake,-,7,20,3
Lassen,-,-,-,-
Los Angeles,30,162,213,86
Madera,1,1,12,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,3,-,-
Merced,8,39,4,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,1,1,-
Nevada,-,2,-,-
Orange,11,64,42,-
Placer,6,57,107,8
Plumas,-,-,-,-
Riverside,9,3,120,49
Sacramento,14,464,485,36
San Benito,-,-,-,-
San Bernardino,7,29,53,38
San Diego,-,-,-,-
San Francisco,1,1,-,-
San Joaquin,7,54,148,-
San Luis Obispo,-,1,-,-
San Mateo,-,4,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,15,3,-
Santa Cruz,-,1,-,-
Shasta,-,15,15,3
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,27,3,1
Sonoma,-,3,3,1
Stanislaus,17,45,192,8
Sutter,6,23,19,36
Tehama,1,4,-,-
Trinity,-,-,-,-
Tulare,3,47,130,9
Tuolumne,-,-,-,-
Ventura,2,33,2,-
Yolo,4,98,154,4
Yuba,2,11,15,13
