County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,15,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,10,49,27,42
Calaveras,-,-,-,-
Colusa,3,5,-,6
Contra Costa,2,62,19,7
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,16,24,141,-
Glenn,6,16,4,8
Humboldt,-,-,-,-
Imperial,1,-,4,10
Inyo,-,-,-,-
Kern,22,14,556,67
Kings,2,2,100,-
Lake,-,10,23,4
Lassen,-,-,-,-
Los Angeles,64,210,259,100
Madera,1,2,14,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,6,-,-
Merced,12,41,4,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,1,-,-,-
Napa,-,1,1,-
Nevada,-,3,-,-
Orange,22,74,57,-
Placer,9,57,108,8
Plumas,-,-,-,-
Riverside,10,4,125,54
Sacramento,15,464,487,36
San Benito,-,-,-,-
San Bernardino,9,33,54,42
San Diego,1,-,-,-
San Francisco,1,1,-,-
San Joaquin,9,55,156,-
San Luis Obispo,-,1,-,-
San Mateo,-,5,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,17,3,-
Santa Cruz,-,1,-,-
Shasta,-,30,17,6
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,28,3,1
Sonoma,-,6,3,1
Stanislaus,21,49,208,8
Sutter,6,25,19,37
Tehama,1,5,-,-
Trinity,-,-,-,-
Tulare,7,52,141,11
Tuolumne,-,-,-,-
Ventura,4,35,2,2
Yolo,5,98,154,4
Yuba,2,11,15,13
