County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,8,47,27,42
Calaveras,-,-,-,-
Colusa,2,5,-,6
Contra Costa,2,57,19,7
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,16,24,139,-
Glenn,6,15,4,8
Humboldt,-,-,-,-
Imperial,1,-,4,9
Inyo,-,-,-,-
Kern,21,14,541,67
Kings,2,2,96,-
Lake,-,9,22,3
Lassen,-,-,-,-
Los Angeles,46,188,234,90
Madera,1,1,14,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,5,-,-
Merced,11,41,4,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,1,-,-,-
Napa,-,1,1,-
Nevada,-,2,-,-
Orange,19,68,46,-
Placer,6,57,107,8
Plumas,-,-,-,-
Riverside,10,3,123,49
Sacramento,15,464,485,36
San Benito,-,-,-,-
San Bernardino,9,33,53,40
San Diego,1,-,-,-
San Francisco,1,1,-,-
San Joaquin,9,55,152,-
San Luis Obispo,-,1,-,-
San Mateo,-,4,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,17,3,-
Santa Cruz,-,1,-,-
Shasta,-,23,17,5
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,27,3,1
Sonoma,-,5,3,1
Stanislaus,21,49,207,8
Sutter,6,25,19,36
Tehama,1,5,-,-
Trinity,-,-,-,-
Tulare,3,50,138,11
Tuolumne,-,-,-,-
Ventura,2,35,2,2
Yolo,5,98,154,4
Yuba,2,11,15,13
