County,Human.Cases,Dead.Birds,Mosquito.Samples,Sentinel.Chickens
Alameda,0,0,0,0
Alpine,0,0,0,0
Amador,0,1,0,0
Butte,1,0,1,3
Calaveras,0,0,0,0
Colusa,0,0,0,0
Contra Costa,0,1,10,2
Del Norte,0,0,0,0
El Dorado,0,1,0,0
Fresno,1,4,13,10
Glenn,1,3,0,1
Humboldt,0,0,0,0
Imperial,1,0,1,0
Inyo,0,0,0,0
Kern,14,6,27,3
Kings,0,0,2,2
Lake,0,0,0,1
Lassen,0,0,0,0
Los Angeles,0,16,1,0
Madera,0,0,0,0
Marin,0,0,0,0
Mariposa,0,0,0,0
Mendocino,0,1,0,0
Merced,0,1,0,0
Modoc,0,0,0,0
Mono,0,0,0,0
Monterey,0,0,0,0
Napa,0,0,0,0
Nevada,0,0,0,0
Orange,0,0,1,0
Placer,0,0,2,3
Plumas,0,0,0,0
Riverside,0,1,1,15
Sacramento,4,13,3,3
San Benito,0,0,0,0
San Bernardino,0,0,0,4
San Diego,0,16,0,0
San Francisco,0,0,0,0
San Joaquin,0,1,12,0
San Luis Obispo,0,1,0,0
San Mateo,0,0,0,0
Santa Barbara,0,1,0,0
Santa Clara,0,1,3,0
Santa Cruz,0,1,0,0
Shasta,0,1,1,0
Sierra,0,0,0,0
Siskiyou,0,1,0,0
Solano,1,0,0,1
Sonoma,0,0,0,0
Stanislaus,4,9,5,1
Sutter,0,0,2,3
Tehama,0,2,0,0
Trinity,0,0,0,0
Tulare,0,1,1,0
Tuolumne,0,0,0,0
Ventura,0,2,0,0
Yolo,0,2,0,1
Yuba,0,0,0,0
