County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,2,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,1,2,12,5
Calaveras,-,-,-,-
Colusa,-,1,-,-
Contra Costa,1,19,7,6
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,5,7,45,-
Glenn,-,1,-,-
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,2,30,-
Kings,-,1,36,-
Lake,-,5,18,-
Lassen,-,-,-,-
Los Angeles,-,9,30,2
Madera,-,4,9,-
Marin,-,2,3,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,3,1
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,5,-,-
Nevada,-,-,-,-
Orange,3,55,80,-
Placer,-,16,27,-
Plumas,-,-,-,-
Riverside,-,-,4,-
Sacramento,-,143,187,-
San Benito,-,-,-,-
San Bernardino,-,3,29,5
San Diego,-,1,-,-
San Francisco,-,-,-,-
San Joaquin,-,23,91,-
San Luis Obispo,-,-,-,-
San Mateo,-,5,3,-
Santa Barbara,-,-,-,-
Santa Clara,-,429,17,-
Santa Cruz,-,1,-,-
Shasta,-,2,6,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,27,6,6
Sonoma,-,8,2,-
Stanislaus,4,17,39,7
Sutter,-,13,26,2
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,3,32,172,4
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,21,80,-
Yuba,-,5,13,1
