County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,73,15,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,16,19,37,34
Calaveras,-,-,-,-
Colusa,2,4,1,6
Contra Costa,1,35,19,13
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,25,8,114,-
Glenn,6,4,8,8
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,3,3,90,-
Kings,2,2,138,-
Lake,1,15,67,2
Lassen,-,-,-,-
Los Angeles,32,47,192,82
Madera,2,4,33,-
Marin,-,3,3,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,1,10,6
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,9,-,-
Nevada,-,-,-,-
Orange,85,228,315,-
Placer,1,27,73,-
Plumas,-,-,-,-
Riverside,1,-,56,7
Sacramento,4,256,442,8
San Benito,-,-,-,-
San Bernardino,4,13,79,16
San Diego,2,7,-,-
San Francisco,-,-,-,-
San Joaquin,3,42,182,-
San Luis Obispo,-,-,-,-
San Mateo,-,9,12,-
Santa Barbara,-,-,-,-
Santa Clara,5,801,29,2
Santa Cruz,-,1,-,-
Shasta,1,5,32,7
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,32,11,19
Sonoma,-,15,5,1
Stanislaus,20,35,113,12
Sutter,2,19,51,26
Tehama,1,-,-,8
Trinity,-,-,-,-
Tulare,7,38,308,4
Tuolumne,-,-,-,-
Ventura,-,2,-,-
Yolo,-,54,200,6
Yuba,3,16,24,7
