County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,27,5,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,4,2,20,6
Calaveras,-,-,-,-
Colusa,-,1,1,-
Contra Costa,1,20,7,6
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,10,8,54,-
Glenn,-,1,4,-
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,2,35,-
Kings,-,1,65,-
Lake,-,5,27,1
Lassen,-,-,-,-
Los Angeles,-,10,48,14
Madera,1,4,9,-
Marin,-,2,3,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,5,1
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,6,-,-
Nevada,-,-,-,-
Orange,7,59,88,-
Placer,-,17,35,-
Plumas,-,-,-,-
Riverside,-,-,11,-
Sacramento,2,179,225,-
San Benito,-,-,-,-
San Bernardino,-,3,39,8
San Diego,-,1,-,-
San Francisco,-,-,-,-
San Joaquin,1,26,109,-
San Luis Obispo,-,-,-,-
San Mateo,-,5,6,-
Santa Barbara,-,-,-,-
Santa Clara,-,496,22,-
Santa Cruz,-,1,-,-
Shasta,-,2,12,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,28,6,6
Sonoma,-,8,2,-
Stanislaus,5,19,46,7
Sutter,-,13,36,2
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,4,35,212,4
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,26,120,-
Yuba,-,5,14,1
