County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,84,15,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,16,19,38,34
Calaveras,-,-,-,-
Colusa,2,4,1,6
Contra Costa,1,37,20,13
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,27,9,118,-
Glenn,8,4,8,8
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,3,3,99,-
Kings,2,2,145,-
Lake,1,15,68,4
Lassen,-,-,-,-
Los Angeles,52,57,216,93
Madera,2,5,37,-
Marin,-,3,3,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,1,10,6
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,12,-,-
Nevada,-,-,-,-
Orange,116,278,357,-
Placer,3,38,75,-
Plumas,-,-,-,-
Riverside,1,1,66,11
Sacramento,7,271,467,8
San Benito,-,-,-,-
San Bernardino,7,14,82,23
San Diego,2,7,-,-
San Francisco,-,-,-,-
San Joaquin,4,45,194,-
San Luis Obispo,-,-,-,-
San Mateo,-,13,13,-
Santa Barbara,-,-,-,-
Santa Clara,5,821,29,3
Santa Cruz,-,1,-,-
Shasta,2,5,33,8
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,32,11,19
Sonoma,-,17,6,1
Stanislaus,21,39,141,12
Sutter,2,19,51,26
Tehama,2,-,-,8
Trinity,-,-,-,-
Tulare,9,38,310,4
Tuolumne,-,-,-,-
Ventura,-,4,-,-
Yolo,1,63,215,9
Yuba,3,16,24,7
