County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,51,10,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,8,11,27,19
Calaveras,-,-,-,-
Colusa,1,4,1,3
Contra Costa,1,26,10,7
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,17,8,87,-
Glenn,1,4,5,5
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,2,3,61,-
Kings,-,2,138,-
Lake,-,12,50,2
Lassen,-,-,-,-
Los Angeles,7,21,95,23
Madera,2,4,20,-
Marin,-,3,3,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,9,3
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,8,-,-
Nevada,-,-,-,-
Orange,25,138,180,-
Placer,-,19,61,-
Plumas,-,-,-,-
Riverside,-,-,25,3
Sacramento,3,219,360,4
San Benito,-,-,-,-
San Bernardino,1,10,63,13
San Diego,-,4,-,-
San Francisco,-,-,-,-
San Joaquin,1,36,135,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,10,-
Santa Barbara,-,-,-,-
Santa Clara,3,639,27,-
Santa Cruz,-,1,-,-
Shasta,1,2,20,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,31,10,14
Sonoma,-,12,4,-
Stanislaus,13,27,82,12
Sutter,-,19,48,12
Tehama,-,-,-,1
Trinity,-,-,-,-
Tulare,4,38,301,4
Tuolumne,-,-,-,-
Ventura,-,2,-,-
Yolo,-,39,174,1
Yuba,1,10,21,3
