County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,92,16,1
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,22,22,40,37
Calaveras,-,-,-,-
Colusa,3,4,1,8
Contra Costa,4,44,25,14
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,34,9,136,-
Glenn,10,4,8,9
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,7,3,111,-
Kings,3,3,150,-
Lake,1,18,71,5
Lassen,-,-,-,-
Los Angeles,158,97,318,135
Madera,3,5,37,-
Marin,-,6,3,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,1,8,11,10
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,12,-,-
Nevada,-,-,-,2
Orange,214,386,474,-
Placer,5,40,77,-
Plumas,-,-,-,-
Riverside,9,1,89,32
Sacramento,10,293,486,9
San Benito,-,-,-,-
San Bernardino,13,17,97,29
San Diego,5,23,1,1
San Francisco,-,-,-,-
San Joaquin,8,53,236,-
San Luis Obispo,-,-,-,-
San Mateo,-,18,15,-
Santa Barbara,-,1,-,-
Santa Clara,8,897,30,5
Santa Cruz,-,1,-,-
Shasta,2,6,33,12
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,33,11,23
Sonoma,-,37,9,3
Stanislaus,31,47,175,12
Sutter,4,19,52,30
Tehama,4,-,-,13
Trinity,-,-,-,-
Tulare,19,40,311,4
Tuolumne,-,-,-,-
Ventura,-,7,-,-
Yolo,11,71,221,9
Yuba,4,16,24,9
