County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,86,16,1
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,19,20,38,36
Calaveras,-,-,-,-
Colusa,2,4,1,8
Contra Costa,1,39,21,13
Del Norte,-,-,-,-
El Dorado,-,4,-,-
Fresno,28,9,123,-
Glenn,9,4,8,8
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,4,3,103,-
Kings,2,3,145,-
Lake,1,18,68,4
Lassen,-,-,-,-
Los Angeles,70,60,246,100
Madera,3,5,37,-
Marin,-,3,3,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,-,7,10,8
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,12,-,-
Nevada,-,-,-,-
Orange,138,306,383,-
Placer,3,38,76,-
Plumas,-,-,-,-
Riverside,4,1,70,13
Sacramento,10,275,474,8
San Benito,-,-,-,-
San Bernardino,8,15,86,23
San Diego,2,7,-,-
San Francisco,-,-,-,-
San Joaquin,5,47,198,-
San Luis Obispo,-,-,-,-
San Mateo,-,14,13,-
Santa Barbara,-,-,-,-
Santa Clara,5,852,30,3
Santa Cruz,-,1,-,-
Shasta,2,5,33,9
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,32,11,19
Sonoma,-,20,6,2
Stanislaus,24,43,148,12
Sutter,2,19,52,27
Tehama,3,-,-,13
Trinity,-,-,-,-
Tulare,10,40,311,4
Tuolumne,-,-,-,-
Ventura,-,5,-,-
Yolo,4,67,217,9
Yuba,4,16,24,9
