County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,90,16,1
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,21,22,40,37
Calaveras,-,-,-,-
Colusa,2,4,1,8
Contra Costa,3,42,22,14
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,31,9,130,-
Glenn,10,4,8,9
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,6,3,110,-
Kings,3,3,150,-
Lake,1,18,68,5
Lassen,-,-,-,-
Los Angeles,105,85,285,120
Madera,3,5,37,-
Marin,-,5,3,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,1,8,11,9
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,12,-,-
Nevada,-,-,-,-
Orange,171,367,435,-
Placer,3,39,76,-
Plumas,-,-,-,-
Riverside,8,1,85,30
Sacramento,10,289,484,8
San Benito,-,-,-,-
San Bernardino,13,17,93,27
San Diego,2,12,-,-
San Francisco,-,-,-,-
San Joaquin,7,52,210,-
San Luis Obispo,-,-,-,-
San Mateo,-,17,15,-
Santa Barbara,-,-,-,-
Santa Clara,7,878,30,4
Santa Cruz,-,1,-,-
Shasta,2,6,33,9
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,33,11,23
Sonoma,-,29,8,3
Stanislaus,29,47,170,12
Sutter,4,19,52,29
Tehama,3,-,-,13
Trinity,-,-,-,-
Tulare,14,40,311,4
Tuolumne,-,-,-,-
Ventura,-,5,-,-
Yolo,10,70,221,9
Yuba,4,16,24,9
