County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,89,16,1
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,20,20,38,36
Calaveras,-,-,-,-
Colusa,2,4,1,8
Contra Costa,2,41,22,13
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,31,9,128,-
Glenn,9,4,8,8
Humboldt,-,2,-,-
Imperial,1,-,-,-
Inyo,-,-,-,-
Kern,6,3,110,-
Kings,2,3,148,-
Lake,1,18,68,5
Lassen,-,-,-,-
Los Angeles,89,70,266,114
Madera,3,5,37,-
Marin,-,5,3,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,1,7,11,9
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,12,-,-
Nevada,-,-,-,-
Orange,155,326,412,-
Placer,3,39,76,-
Plumas,-,-,-,-
Riverside,5,1,74,29
Sacramento,10,285,476,8
San Benito,-,-,-,-
San Bernardino,11,15,91,23
San Diego,2,7,-,-
San Francisco,-,-,-,-
San Joaquin,5,50,208,-
San Luis Obispo,-,-,-,-
San Mateo,-,16,13,-
Santa Barbara,-,-,-,-
Santa Clara,6,863,30,4
Santa Cruz,-,1,-,-
Shasta,2,6,33,9
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,33,11,19
Sonoma,-,26,6,2
Stanislaus,26,45,155,12
Sutter,2,19,52,27
Tehama,3,-,-,13
Trinity,-,-,-,-
Tulare,13,40,311,4
Tuolumne,-,-,-,-
Ventura,-,5,-,-
Yolo,5,68,219,9
Yuba,4,16,24,9
