County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,38,6,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,4,8,21,18
Calaveras,-,-,-,-
Colusa,-,3,1,3
Contra Costa,1,23,8,7
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,12,8,67,-
Glenn,-,2,5,5
Humboldt,-,2,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,2,2,50,-
Kings,-,1,97,-
Lake,-,6,28,1
Lassen,-,-,-,-
Los Angeles,3,12,71,17
Madera,2,4,14,-
Marin,-,2,3,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,6,2
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,8,-,-
Nevada,-,-,-,-
Orange,13,104,152,-
Placer,-,17,35,-
Plumas,-,-,-,-
Riverside,-,-,11,-
Sacramento,2,188,297,-
San Benito,-,-,-,-
San Bernardino,-,8,48,8
San Diego,-,1,-,-
San Francisco,-,-,-,-
San Joaquin,1,28,121,-
San Luis Obispo,-,-,-,-
San Mateo,-,7,8,-
Santa Barbara,-,-,-,-
Santa Clara,1,560,23,-
Santa Cruz,-,1,-,-
Shasta,1,2,13,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,28,9,14
Sonoma,-,11,2,-
Stanislaus,7,24,65,12
Sutter,-,19,39,11
Tehama,-,-,-,1
Trinity,-,-,-,-
Tulare,4,37,252,4
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,30,148,-
Yuba,-,8,18,3
