County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,1,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,1,12,4,25
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,39,17,10
Del Norte,-,-,-,-
El Dorado,1,9,-,-
Fresno,12,62,129,13
Glenn,-,6,-,-
Humboldt,-,-,-,-
Imperial,-,-,3,34
Inyo,-,-,-,-
Kern,11,27,135,78
Kings,3,9,105,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,11,69,80,32
Madera,-,11,3,7
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,1,5,11,12
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,3,-,-
Napa,-,-,-,3
Nevada,-,-,-,-
Orange,4,7,13,-
Placer,-,4,40,7
Plumas,-,-,-,-
Riverside,1,1,26,20
Sacramento,-,23,36,2
San Benito,-,-,-,-
San Bernardino,1,17,51,11
San Diego,2,33,5,4
San Francisco,-,1,-,-
San Joaquin,5,23,83,10
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,13,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,2,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,2,8
Sonoma,-,-,-,-
Stanislaus,12,26,93,21
Sutter,-,-,25,6
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,24,131,25
Tuolumne,-,2,-,-
Ventura,-,3,-,-
Yolo,2,6,16,2
Yuba,-,-,1,-
