County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,6,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,3,-,-
Calaveras,-,-,-,-
Colusa,-,-,-,-
Contra Costa,-,1,11,-
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,-,36,52,-
Glenn,-,-,-,-
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,12,16,-
Kings,-,6,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,21,3,4
Madera,-,6,1,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,1,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,-,-,-
Orange,-,5,1,-
Placer,-,-,-,-
Plumas,-,-,-,-
Riverside,-,1,5,-
Sacramento,-,5,1,-
San Benito,-,-,-,-
San Bernardino,-,2,-,-
San Diego,-,14,-,-
San Francisco,-,-,-,-
San Joaquin,-,3,7,-
San Luis Obispo,-,-,-,-
San Mateo,-,-,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,5,14,-
Santa Cruz,-,1,-,-
Shasta,-,4,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,-,-,-
Sonoma,-,-,-,-
Stanislaus,-,2,-,-
Sutter,-,-,2,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,1,7,-
Tuolumne,-,1,-,-
Ventura,-,1,-,-
Yolo,-,1,-,1
Yuba,-,-,-,-
