County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,1,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,1,12,4,13
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,32,17,5
Del Norte,-,-,-,-
El Dorado,1,9,-,-
Fresno,7,61,122,11
Glenn,-,4,-,-
Humboldt,-,-,-,-
Imperial,-,-,3,34
Inyo,-,-,-,-
Kern,11,27,127,63
Kings,2,9,97,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,9,60,68,31
Madera,-,11,3,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,1,4,8,7
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,3,-,-
Napa,-,-,-,3
Nevada,-,-,-,-
Orange,1,6,10,-
Placer,-,4,39,-
Plumas,-,-,-,-
Riverside,-,1,24,19
Sacramento,-,21,36,2
San Benito,-,-,-,-
San Bernardino,-,14,44,8
San Diego,2,29,5,4
San Francisco,-,1,-,-
San Joaquin,2,23,77,9
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,12,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,2,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,2,8
Sonoma,-,-,-,-
Stanislaus,9,24,88,14
Sutter,-,-,25,5
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,22,128,20
Tuolumne,-,2,-,-
Ventura,-,2,-,-
Yolo,-,5,16,2
Yuba,-,-,1,-
