County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,1,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,1,12,4,23
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,37,17,10
Del Norte,-,-,-,-
El Dorado,1,9,-,-
Fresno,9,62,129,11
Glenn,-,5,-,-
Humboldt,-,-,-,-
Imperial,-,-,3,34
Inyo,-,-,-,-
Kern,11,27,128,76
Kings,3,9,105,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,9,65,76,31
Madera,-,11,3,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,1,4,11,9
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,3,-,-
Napa,-,-,-,3
Nevada,-,-,-,-
Orange,3,7,11,-
Placer,-,4,40,7
Plumas,-,-,-,-
Riverside,1,1,24,20
Sacramento,-,22,36,2
San Benito,-,-,-,-
San Bernardino,-,15,49,8
San Diego,2,32,5,4
San Francisco,-,1,-,-
San Joaquin,4,23,79,9
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,12,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,2,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,2,8
Sonoma,-,-,-,-
Stanislaus,11,25,92,21
Sutter,-,-,25,6
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,24,129,25
Tuolumne,-,2,-,-
Ventura,-,3,-,-
Yolo,2,6,16,2
Yuba,-,-,1,-
