County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,5,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,-,-,-
Calaveras,-,-,-,-
Colusa,-,-,-,-
Contra Costa,-,-,11,-
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,-,32,48,-
Glenn,-,-,-,-
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,9,8,-
Kings,-,3,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,8,2,4
Madera,-,4,1,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,-,-,-
Orange,-,4,1,-
Placer,-,-,-,-
Plumas,-,-,-,-
Riverside,-,1,5,-
Sacramento,-,1,1,-
San Benito,-,-,-,-
San Bernardino,-,1,-,-
San Diego,-,11,-,-
San Francisco,-,-,-,-
San Joaquin,-,2,3,-
San Luis Obispo,-,-,-,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,4,14,-
Santa Cruz,-,-,-,-
Shasta,-,1,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,-,-,-
Sonoma,-,-,-,-
Stanislaus,-,2,-,-
Sutter,-,-,1,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,-,2,-
Tuolumne,-,-,-,-
Ventura,-,-,-,-
Yolo,-,-,-,1
Yuba,-,-,-,-
