County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,8,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,7,3,1
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,20,17,1
Del Norte,-,-,-,-
El Dorado,-,4,-,-
Fresno,1,57,106,-
Glenn,-,-,-,-
Humboldt,-,-,-,-
Imperial,-,-,2,29
Inyo,-,-,-,-
Kern,3,25,94,21
Kings,1,9,57,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,2,50,38,21
Madera,-,9,2,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,2,-,3
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,2,-,-
Napa,-,-,-,-
Nevada,-,-,-,-
Orange,1,6,4,-
Placer,-,3,17,-
Plumas,-,-,-,-
Riverside,-,1,11,1
Sacramento,-,12,17,2
San Benito,-,-,-,-
San Bernardino,-,10,27,5
San Diego,1,21,2,4
San Francisco,-,1,-,-
San Joaquin,-,20,62,1
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,11,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,-,1
Sonoma,-,-,-,-
Stanislaus,-,15,50,-
Sutter,-,-,15,1
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,20,102,5
Tuolumne,-,1,-,-
Ventura,-,2,-,-
Yolo,-,1,6,2
Yuba,-,-,-,-
