County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,9,1,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,11,4,8
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,27,17,4
Del Norte,-,-,-,-
El Dorado,-,6,-,-
Fresno,5,58,115,1
Glenn,-,1,-,-
Humboldt,-,-,-,-
Imperial,-,-,2,31
Inyo,-,-,-,-
Kern,8,27,119,40
Kings,1,9,96,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,5,57,54,23
Madera,-,11,2,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,4,3,5
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,3,-,-
Napa,-,-,-,1
Nevada,-,-,-,-
Orange,1,6,7,-
Placer,-,3,30,-
Plumas,-,-,-,-
Riverside,-,1,20,14
Sacramento,-,17,29,2
San Benito,-,-,-,-
San Bernardino,-,11,31,5
San Diego,2,27,4,4
San Francisco,-,1,-,-
San Joaquin,-,22,62,9
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,11,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,1,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,2,1
Sonoma,-,-,-,-
Stanislaus,3,22,73,3
Sutter,-,-,23,3
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,22,118,15
Tuolumne,-,1,-,-
Ventura,-,2,-,-
Yolo,-,4,13,2
Yuba,-,-,1,-
