County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,1,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,1,11,4,13
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,29,17,5
Del Norte,-,-,-,-
El Dorado,-,9,-,-
Fresno,5,60,118,1
Glenn,-,4,-,-
Humboldt,-,-,-,-
Imperial,-,-,2,31
Inyo,-,-,-,-
Kern,10,27,124,63
Kings,1,9,97,-
Lake,-,2,2,-
Lassen,-,-,-,-
Los Angeles,7,60,61,23
Madera,-,11,2,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,4,4,5
Modoc,-,1,-,-
Mono,-,-,1,-
Monterey,-,3,-,-
Napa,-,-,-,3
Nevada,-,-,-,-
Orange,1,6,7,-
Placer,-,4,35,-
Plumas,-,-,-,-
Riverside,-,1,20,14
Sacramento,-,17,34,2
San Benito,-,-,-,-
San Bernardino,-,13,40,7
San Diego,2,28,4,4
San Francisco,-,1,-,-
San Joaquin,1,22,75,9
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,12,14,-
Santa Cruz,-,1,-,-
Shasta,-,7,2,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,2,2,8
Sonoma,-,-,-,-
Stanislaus,5,23,76,14
Sutter,-,-,23,5
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,22,125,17
Tuolumne,-,2,-,-
Ventura,-,2,-,-
Yolo,-,4,16,2
Yuba,-,-,1,-
