County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,8,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,5,-,-
Calaveras,-,-,-,-
Colusa,-,2,-,-
Contra Costa,1,15,16,1
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,-,51,87,-
Glenn,-,-,-,-
Humboldt,-,-,-,-
Imperial,-,-,1,5
Inyo,-,-,-,-
Kern,2,24,69,5
Kings,-,9,44,-
Lake,-,1,-,-
Lassen,-,-,-,-
Los Angeles,-,42,8,13
Madera,-,9,2,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,2,-,-
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,1,-,-
Napa,-,-,-,-
Nevada,-,-,-,-
Orange,1,6,2,-
Placer,-,3,4,-
Plumas,-,-,-,-
Riverside,-,1,6,1
Sacramento,-,10,9,1
San Benito,-,-,-,-
San Bernardino,-,7,7,3
San Diego,1,14,-,2
San Francisco,-,1,-,-
San Joaquin,-,11,45,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,-,10,14,-
Santa Cruz,-,1,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,-,-,-
Sonoma,-,-,-,-
Stanislaus,-,11,14,-
Sutter,-,-,7,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,12,48,-
Tuolumne,-,1,-,-
Ventura,-,1,-,-
Yolo,-,1,4,1
Yuba,-,-,-,-
