County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,2,-,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,1,17,2,2
Calaveras,-,-,1,-
Colusa,-,2,-,-
Contra Costa,-,34,14,-
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,1,10,23,-
Glenn,-,4,1,-
Humboldt,-,-,-,-
Imperial,-,-,1,4
Inyo,-,-,-,-
Kern,-,7,3,-
Kings,-,-,-,-
Lake,-,-,2,-
Lassen,-,-,-,-
Los Angeles,25,163,256,11
Madera,-,-,-,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,1,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,2,-,-
Napa,-,-,-,-
Nevada,-,4,-,-
Orange,14,353,222,-
Placer,-,2,18,-
Plumas,-,-,-,-
Riverside,13,19,73,19
Sacramento,3,67,186,1
San Benito,-,-,-,-
San Bernardino,2,73,98,12
San Diego,4,251,12,8
San Francisco,-,-,-,-
San Joaquin,2,56,103,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,8,1,-
Santa Cruz,-,1,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,5,1,-
Sonoma,-,-,1,-
Stanislaus,5,23,30,5
Sutter,-,2,10,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,70,19,1
Tuolumne,-,-,-,-
Ventura,-,3,-,-
Yolo,-,4,5,-
Yuba,-,-,1,-
