County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,-,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,1,-,-
Calaveras,-,-,1,-
Colusa,-,-,-,-
Contra Costa,-,2,3,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,2,3,-
Glenn,-,1,-,-
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,1,3,-
Kings,-,-,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,42,20,2
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,3,-,-
Orange,-,88,25,-
Placer,-,-,-,-
Plumas,-,-,-,-
Riverside,-,4,19,1
Sacramento,-,10,4,-
San Benito,-,-,-,-
San Bernardino,-,7,4,1
San Diego,-,62,1,-
San Francisco,-,-,-,-
San Joaquin,-,16,20,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,6,1,-
Santa Cruz,-,-,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,-,1,-
Sonoma,-,-,-,-
Stanislaus,2,6,1,-
Sutter,-,2,-,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,29,7,-
Tuolumne,-,-,-,-
Ventura,-,-,-,-
Yolo,-,-,-,-
Yuba,-,-,-,-
