County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,-,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,1,-,-
Calaveras,-,-,-,-
Colusa,-,-,-,-
Contra Costa,-,1,2,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,-,3,-
Glenn,-,-,-,-
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,1,2,-
Kings,-,-,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,30,12,2
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,1,-,-
Orange,-,63,25,-
Placer,-,-,-,-
Plumas,-,-,-,-
Riverside,-,3,18,-
Sacramento,-,5,2,-
San Benito,-,-,-,-
San Bernardino,-,5,2,-
San Diego,-,47,1,-
San Francisco,-,-,-,-
San Joaquin,-,7,10,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,4,1,-
Santa Cruz,-,-,-,-
Shasta,-,5,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,-,-,-
Sonoma,-,-,-,-
Stanislaus,-,4,-,-
Sutter,-,2,-,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,24,3,-
Tuolumne,-,-,-,-
Ventura,-,-,-,-
Yolo,-,-,-,-
Yuba,-,-,-,-
