County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,5,1,-
Alpine,-,-,-,-
Amador,-,3,-,-
Butte,4,34,5,25
Calaveras,-,1,1,-
Colusa,1,2,-,-
Contra Costa,2,66,23,4
Del Norte,-,-,-,-
El Dorado,-,4,-,-
Fresno,1,25,50,5
Glenn,-,16,1,1
Humboldt,-,1,-,-
Imperial,-,-,7,19
Inyo,-,-,-,-
Kern,-,8,7,-
Kings,-,1,-,-
Lake,-,1,3,-
Lassen,-,-,1,-
Los Angeles,74,347,434,51
Madera,-,2,1,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,1,3,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,5,-,-
Napa,-,-,-,-
Nevada,-,5,-,-
Orange,45,549,320,3
Placer,2,3,25,7
Plumas,-,-,-,-
Riverside,40,38,106,55
Sacramento,8,105,274,6
San Benito,-,-,-,-
San Bernardino,10,154,139,43
San Diego,13,420,32,13
San Francisco,-,-,-,-
San Joaquin,9,65,200,1
San Luis Obispo,-,-,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,1,10,1,-
Santa Cruz,-,1,-,-
Shasta,1,7,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,7,1,-
Sonoma,-,4,1,-
Stanislaus,13,39,69,8
Sutter,-,2,11,7
Tehama,1,5,-,-
Trinity,-,-,-,-
Tulare,2,72,57,4
Tuolumne,-,-,-,-
Ventura,-,12,-,2
Yolo,1,6,17,-
Yuba,-,-,1,1
