County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,-,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,2,-,-
Calaveras,-,-,1,-
Colusa,-,-,-,-
Contra Costa,-,3,4,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,3,3,-
Glenn,-,2,-,-
Humboldt,-,-,-,-
Imperial,-,-,1,1
Inyo,-,-,-,-
Kern,-,3,3,-
Kings,-,-,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,54,27,2
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,1,-,-
Napa,-,-,-,-
Nevada,-,3,-,-
Orange,-,88,59,-
Placer,-,-,-,-
Plumas,-,-,-,-
Riverside,-,6,22,2
Sacramento,-,18,38,-
San Benito,-,-,-,-
San Bernardino,-,10,5,1
San Diego,-,72,1,-
San Francisco,-,-,-,-
San Joaquin,-,25,46,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,6,1,-
Santa Cruz,-,-,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,3,1,-
Sonoma,-,-,-,-
Stanislaus,2,11,3,-
Sutter,-,2,1,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,33,7,-
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,-,-,-
Yuba,-,-,-,-
