County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,-,-,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,-,8,-,-
Calaveras,-,-,1,-
Colusa,-,-,-,-
Contra Costa,-,12,8,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,1,4,9,-
Glenn,-,2,-,-
Humboldt,-,-,-,-
Imperial,-,-,1,2
Inyo,-,-,-,-
Kern,-,4,3,-
Kings,-,-,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,3,80,85,2
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,2,-,-
Napa,-,-,-,-
Nevada,-,3,-,-
Orange,2,156,127,-
Placer,-,1,3,-
Plumas,-,-,-,-
Riverside,-,13,38,8
Sacramento,-,39,120,-
San Benito,-,-,-,-
San Bernardino,-,24,45,3
San Diego,1,122,5,8
San Francisco,-,-,-,-
San Joaquin,1,40,75,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,7,1,-
Santa Cruz,-,-,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,4,1,-
Sonoma,-,-,-,-
Stanislaus,3,19,11,-
Sutter,-,2,7,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,64,10,-
Tuolumne,-,-,-,-
Ventura,-,3,-,-
Yolo,-,1,1,-
Yuba,-,-,1,-
