County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,2,1,-
Alpine,-,-,-,-
Amador,-,2,-,-
Butte,2,20,5,2
Calaveras,-,1,1,-
Colusa,-,2,-,-
Contra Costa,-,40,21,-
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,1,10,28,-
Glenn,-,6,1,-
Humboldt,-,-,-,-
Imperial,-,-,7,4
Inyo,-,-,-,-
Kern,-,7,3,-
Kings,-,-,-,-
Lake,-,-,3,-
Lassen,-,-,-,-
Los Angeles,25,199,295,27
Madera,-,-,-,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,1,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,2,-,-
Napa,-,-,-,-
Nevada,-,4,-,-
Orange,21,388,255,3
Placer,-,2,21,-
Plumas,-,-,-,-
Riverside,19,24,78,31
Sacramento,4,74,231,5
San Benito,-,-,-,-
San Bernardino,2,97,124,19
San Diego,5,287,13,8
San Francisco,-,-,-,-
San Joaquin,5,57,136,1
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,9,1,-
Santa Cruz,-,1,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,5,1,-
Sonoma,-,1,1,-
Stanislaus,5,23,35,5
Sutter,-,2,10,1
Tehama,-,2,-,-
Trinity,-,-,-,-
Tulare,1,70,27,1
Tuolumne,-,-,-,-
Ventura,-,3,-,-
Yolo,-,4,8,-
Yuba,-,-,1,-
