County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,8,1,-
Alpine,-,-,-,-
Amador,-,3,-,-
Butte,5,36,5,26
Calaveras,1,1,1,-
Colusa,1,3,-,1
Contra Costa,4,78,27,14
Del Norte,-,-,-,-
El Dorado,1,5,-,-
Fresno,1,32,52,13
Glenn,-,17,1,3
Humboldt,-,1,-,-
Imperial,-,-,7,21
Inyo,-,-,-,-
Kern,-,10,7,10
Kings,1,1,-,-
Lake,-,2,3,-
Lassen,-,-,1,-
Los Angeles,88,403,467,87
Madera,-,2,1,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,1,5,-,-
Modoc,-,1,-,-
Mono,-,2,-,-
Monterey,-,5,-,-
Napa,-,-,-,-
Nevada,-,5,-,-
Orange,60,590,340,3
Placer,4,3,27,9
Plumas,-,-,-,-
Riverside,48,39,114,93
Sacramento,10,120,277,6
San Benito,-,-,-,-
San Bernardino,12,164,156,51
San Diego,21,472,37,13
San Francisco,-,-,-,-
San Joaquin,10,69,206,13
San Luis Obispo,-,-,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,1,11,1,-
Santa Cruz,-,3,-,-
Shasta,1,7,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,7,1,-
Sonoma,-,6,1,-
Stanislaus,16,45,75,30
Sutter,-,2,11,8
Tehama,1,6,-,-
Trinity,-,-,-,-
Tulare,2,73,62,15
Tuolumne,-,-,-,-
Ventura,-,17,-,4
Yolo,1,6,18,-
Yuba,-,-,1,1
