County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,1,6,1,-
Alpine,-,-,-,-
Amador,-,3,-,-
Butte,4,35,5,26
Calaveras,1,1,1,-
Colusa,1,2,-,1
Contra Costa,2,73,26,14
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,1,31,51,5
Glenn,-,17,1,3
Humboldt,-,1,-,-
Imperial,-,-,7,20
Inyo,-,-,-,-
Kern,-,9,7,10
Kings,1,1,-,-
Lake,-,2,3,-
Lassen,-,-,1,-
Los Angeles,88,370,455,53
Madera,-,2,1,-
Marin,-,1,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,1,4,-,-
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,5,-,-
Napa,-,-,-,-
Nevada,-,5,-,-
Orange,53,574,337,3
Placer,4,3,26,9
Plumas,-,-,-,-
Riverside,43,39,113,55
Sacramento,8,116,275,6
San Benito,-,-,-,-
San Bernardino,12,162,139,43
San Diego,17,446,34,13
San Francisco,-,-,-,-
San Joaquin,9,69,206,9
San Luis Obispo,-,-,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,1,11,1,-
Santa Cruz,-,2,-,-
Shasta,1,7,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,7,1,-
Sonoma,-,4,1,-
Stanislaus,16,44,75,16
Sutter,-,2,11,8
Tehama,1,6,-,-
Trinity,-,-,-,-
Tulare,2,72,58,4
Tuolumne,-,-,-,-
Ventura,-,14,-,2
Yolo,1,6,17,-
Yuba,-,-,1,1
