County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,-,-,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,-,4,-,-
Calaveras,-,-,1,-
Colusa,-,-,-,-
Contra Costa,-,7,7,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,-,4,8,-
Glenn,-,2,-,-
Humboldt,-,-,-,-
Imperial,-,-,1,1
Inyo,-,-,-,-
Kern,-,3,3,-
Kings,-,-,-,-
Lake,-,-,-,-
Lassen,-,-,-,-
Los Angeles,-,63,38,2
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,1,-,-
Napa,-,-,-,-
Nevada,-,3,-,-
Orange,2,135,116,-
Placer,-,1,1,-
Plumas,-,-,-,-
Riverside,-,9,35,2
Sacramento,-,22,51,-
San Benito,-,-,-,-
San Bernardino,-,16,23,1
San Diego,-,95,4,2
San Francisco,-,-,-,-
San Joaquin,1,30,63,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,7,1,-
Santa Cruz,-,-,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,3,1,-
Sonoma,-,-,-,-
Stanislaus,2,17,5,-
Sutter,-,2,6,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,63,10,-
Tuolumne,-,-,-,-
Ventura,-,1,-,-
Yolo,-,-,1,-
Yuba,-,-,1,-
