County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,1,-,-
Alpine,-,-,-,-
Amador,-,1,-,-
Butte,-,9,2,-
Calaveras,-,-,1,-
Colusa,-,-,-,-
Contra Costa,-,25,12,-
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,1,6,14,-
Glenn,-,2,1,-
Humboldt,-,-,-,-
Imperial,-,-,1,2
Inyo,-,-,-,-
Kern,-,4,3,-
Kings,-,-,-,-
Lake,-,-,1,-
Lassen,-,-,-,-
Los Angeles,11,100,137,3
Madera,-,-,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,-,-,-,-
Merced,-,-,-,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,2,-,-
Napa,-,-,-,-
Nevada,-,4,-,-
Orange,9,299,149,-
Placer,-,1,3,-
Plumas,-,-,-,-
Riverside,-,16,44,11
Sacramento,-,49,149,-
San Benito,-,-,-,-
San Bernardino,-,36,69,6
San Diego,1,154,7,8
San Francisco,-,-,-,-
San Joaquin,1,51,82,-
San Luis Obispo,-,-,-,-
San Mateo,-,1,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,8,1,-
Santa Cruz,-,-,-,-
Shasta,-,6,-,-
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,4,1,-
Sonoma,-,-,-,-
Stanislaus,4,20,14,-
Sutter,-,2,8,-
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,1,67,12,1
Tuolumne,-,-,-,-
Ventura,-,3,-,-
Yolo,-,2,2,-
Yuba,-,-,1,-
