County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,9,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,3,34,29,39
Calaveras,-,-,-,-
Colusa,1,1,-,8
Contra Costa,2,46,10,4
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,2,7,41,-
Glenn,3,7,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,4,2,85,2
Kings,-,10,55,-
Lake,-,7,46,2
Lassen,-,-,-,-
Los Angeles,27,264,255,60
Madera,-,7,12,-
Marin,-,4,-,1
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,28,7,11
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,1,-,-
Nevada,-,4,-,-
Orange,1,16,11,-
Placer,1,19,76,4
Plumas,-,-,-,-
Riverside,2,14,47,13
Sacramento,3,117,277,2
San Benito,-,-,-,-
San Bernardino,-,12,118,12
San Diego,-,5,-,-
San Francisco,-,-,-,-
San Joaquin,3,26,89,-
San Luis Obispo,-,-,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,38,19,-
Santa Cruz,-,1,-,-
Shasta,-,26,4,6
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,5
Sonoma,-,8,-,-
Stanislaus,1,9,71,8
Sutter,1,14,60,30
Tehama,-,2,-,1
Trinity,-,1,-,-
Tulare,-,3,25,-
Tuolumne,-,1,-,-
Ventura,1,6,-,-
Yolo,2,70,194,5
Yuba,-,7,13,9
