County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,8,42,29,50
Calaveras,-,-,-,-
Colusa,1,1,-,8
Contra Costa,2,58,12,5
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,3,10,52,-
Glenn,5,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,8,2,150,6
Kings,-,10,71,-
Lake,-,7,59,5
Lassen,-,-,-,-
Los Angeles,43,294,317,84
Madera,-,7,14,2
Marin,1,5,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,35,7,14
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,6,-,-
Orange,1,20,13,-
Placer,1,25,87,10
Plumas,-,-,-,-
Riverside,3,18,60,18
Sacramento,3,137,331,4
San Benito,-,-,-,-
San Bernardino,1,21,175,13
San Diego,-,5,-,-
San Francisco,1,-,-,-
San Joaquin,3,29,127,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,49,24,1
Santa Cruz,-,1,1,-
Shasta,-,29,12,8
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,7
Sonoma,-,10,-,1
Stanislaus,3,13,121,8
Sutter,5,14,61,33
Tehama,-,3,-,4
Trinity,-,1,-,-
Tulare,-,3,74,-
Tuolumne,-,1,-,-
Ventura,1,7,-,-
Yolo,4,82,219,9
Yuba,-,9,14,9
