County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,17,42,32,54
Calaveras,-,-,-,-
Colusa,2,1,-,8
Contra Costa,2,63,13,6
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,3,10,61,-
Glenn,6,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,9,2,177,12
Kings,-,10,74,-
Lake,-,8,61,5
Lassen,-,-,-,-
Los Angeles,62,301,357,100
Madera,-,7,14,2
Marin,2,6,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,35,8,14
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,6,-,2
Orange,2,23,27,-
Placer,4,29,89,12
Plumas,-,-,-,-
Riverside,7,18,74,24
Sacramento,3,157,364,5
San Benito,-,-,-,-
San Bernardino,2,22,209,18
San Diego,-,6,-,-
San Francisco,1,-,-,-
San Joaquin,5,32,156,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,49,25,2
Santa Cruz,-,1,1,-
Shasta,-,34,13,14
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,14,1,11
Sonoma,-,17,3,1
Stanislaus,6,13,140,8
Sutter,7,16,61,33
Tehama,-,3,-,8
Trinity,-,1,-,-
Tulare,1,4,84,4
Tuolumne,-,1,-,-
Ventura,1,7,-,-
Yolo,4,91,239,10
Yuba,-,11,14,11
