County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,6,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,1,16,21,30
Calaveras,-,-,-,-
Colusa,-,-,-,6
Contra Costa,1,32,4,-
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,2,5,35,-
Glenn,2,6,14,6
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,2,68,1
Kings,-,10,41,-
Lake,-,4,27,1
Lassen,-,-,-,-
Los Angeles,7,172,179,44
Madera,-,6,10,-
Marin,-,2,-,1
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,24,3,7
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,1,-,-
Orange,-,12,9,-
Placer,-,9,63,4
Plumas,-,-,-,-
Riverside,1,10,39,9
Sacramento,2,97,222,2
San Benito,-,-,-,-
San Bernardino,-,6,86,2
San Diego,-,4,-,-
San Francisco,-,-,-,-
San Joaquin,-,21,56,-
San Luis Obispo,-,-,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,21,15,-
Santa Cruz,-,1,-,-
Shasta,-,13,3,5
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,4
Sonoma,-,6,-,-
Stanislaus,-,8,30,5
Sutter,-,14,56,22
Tehama,-,-,-,1
Trinity,-,1,-,-
Tulare,-,2,15,-
Tuolumne,-,1,-,-
Ventura,-,5,-,-
Yolo,1,55,163,3
Yuba,-,5,10,9
