County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,3,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,-,5,14,13
Calaveras,-,-,-,-
Colusa,-,-,-,4
Contra Costa,-,21,4,-
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,-,4,33,-
Glenn,2,5,11,5
Humboldt,-,-,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,-,2,55,1
Kings,-,8,41,-
Lake,-,2,24,1
Lassen,-,-,-,-
Los Angeles,7,143,156,38
Madera,-,4,9,-
Marin,-,2,-,-
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,22,2,6
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,1,-,-
Orange,-,4,2,-
Placer,-,5,48,-
Plumas,-,-,-,-
Riverside,1,8,22,5
Sacramento,2,76,204,2
San Benito,-,-,-,-
San Bernardino,-,6,69,2
San Diego,-,4,-,-
San Francisco,-,-,-,-
San Joaquin,-,19,48,-
San Luis Obispo,-,-,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,-,15,15,-
Santa Cruz,-,-,-,-
Shasta,-,6,3,3
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,1
Sonoma,-,3,-,-
Stanislaus,-,6,22,2
Sutter,-,13,56,12
Tehama,-,-,-,-
Trinity,-,-,-,-
Tulare,-,2,13,-
Tuolumne,-,1,-,-
Ventura,-,5,-,-
Yolo,1,47,145,1
Yuba,-,5,9,5
