County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,9,42,29,50
Calaveras,-,-,-,-
Colusa,1,1,-,8
Contra Costa,2,62,12,5
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,3,10,54,-
Glenn,5,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,9,2,159,6
Kings,-,10,71,-
Lake,-,7,61,5
Lassen,-,-,-,-
Los Angeles,54,297,335,91
Madera,-,7,14,2
Marin,2,5,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,35,7,14
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,6,-,1
Orange,2,23,13,-
Placer,1,28,88,10
Plumas,-,-,-,-
Riverside,4,18,69,24
Sacramento,3,149,350,5
San Benito,-,-,-,-
San Bernardino,1,21,194,18
San Diego,-,5,-,-
San Francisco,1,-,-,-
San Joaquin,3,29,148,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,49,25,1
Santa Cruz,-,1,1,-
Shasta,-,29,13,8
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,11,1,7
Sonoma,-,10,1,1
Stanislaus,3,13,131,8
Sutter,5,14,61,33
Tehama,-,3,-,4
Trinity,-,1,-,-
Tulare,-,3,77,-
Tuolumne,-,1,-,-
Ventura,1,7,-,-
Yolo,4,87,228,10
Yuba,-,9,14,9
